feature,gap_model_importance,intraday_model_importance,ranking_model_importance,mean_importance
sox_return_1d,781.0,544.0,729.0,684.6666666666666
usdkrw_return_1d,622.0,632.0,609.0,621.0
nasdaq_return_1d,574.0,481.0,466.0,507.0
vix_change_1d,527.0,467.0,497.0,497.0
wti_return_1d,538.0,461.0,470.0,489.6666666666667
sp500_return_1d,490.0,315.0,424.0,409.6666666666667
atr_percent,210.0,154.0,167.0,177.0
intraday_range_5d,86.0,144.0,136.0,122.0
trading_value,161.0,93.0,112.0,122.0
return_1d,134.0,110.0,94.0,112.66666666666667
volatility_20d,105.0,108.0,119.0,110.66666666666667
return_3d,102.0,109.0,104.0,105.0
atr_rank_pct,59.0,126.0,114.0,99.66666666666667
lower_shadow,98.0,80.0,95.0,91.0
return_60d,94.0,89.0,86.0,89.66666666666667
upper_shadow,59.0,94.0,108.0,87.0
macd_hist_ratio,90.0,86.0,79.0,85.0
momentum_accel,90.0,95.0,66.0,83.66666666666667
volatility_rank_pct,76.0,80.0,86.0,80.66666666666667
body,64.0,90.0,87.0,80.33333333333333
close_ma60_ratio,61.0,86.0,59.0,68.66666666666667
close_ma5_ratio,62.0,67.0,72.0,67.0
volatility_5d,69.0,50.0,75.0,64.66666666666667
high_20d,73.0,42.0,58.0,57.666666666666664
return_5d,44.0,75.0,48.0,55.666666666666664
low_20d,60.0,45.0,56.0,53.666666666666664
rsi_change_5d,23.0,70.0,63.0,52.0
close_to_20d_high,39.0,69.0,44.0,50.666666666666664
bb_width,43.0,55.0,53.0,50.333333333333336
close_ma20_ratio,61.0,38.0,48.0,49.0
trading_value_rank_pct,38.0,54.0,39.0,43.666666666666664
momentum_diff,29.0,54.0,45.0,42.666666666666664
bb_position_change_5d,23.0,45.0,57.0,41.666666666666664
close_position,47.0,39.0,35.0,40.333333333333336
momentum_diff_rank_pct,31.0,49.0,37.0,39.0
return_20d,34.0,43.0,40.0,39.0
relative_trading_value,21.0,52.0,41.0,38.0
macd_rank_pct,24.0,55.0,27.0,35.333333333333336
relative_return_20d_vs_market,18.0,51.0,36.0,35.0
return_20d_rank_pct,23.0,43.0,35.0,33.666666666666664
bb_width_rank_pct,17.0,42.0,36.0,31.666666666666668
close_to_20d_low,15.0,55.0,24.0,31.333333333333332
volume_change_1d,23.0,39.0,31.0,31.0
volume_change_rank_pct,13.0,45.0,34.0,30.666666666666668
bb_position_rank_pct,19.0,43.0,29.0,30.333333333333332
breakout_rank_pct,18.0,43.0,25.0,28.666666666666668
breakout_strength,9.0,45.0,30.0,28.0
rsi14,12.0,38.0,31.0,27.0
body_ratio,18.0,34.0,27.0,26.333333333333332
low_rebound_rank_pct,16.0,40.0,21.0,25.666666666666668
rsi_rank_pct,11.0,42.0,21.0,24.666666666666668
return_5d_rank_pct,10.0,26.0,27.0,21.0
relative_return_5d_vs_market,18.0,28.0,17.0,21.0
bb_position,13.0,23.0,23.0,19.666666666666668
relative_return_20d_vs_sector,5.0,17.0,8.0,10.0
