evaluation_date,top10_average_predicted_return,top10_average_actual_return,top10_median_actual_return,top10_best_stock,top10_best_stock_return,top10_worst_stock,top10_worst_stock_return
2026-01-30,0.02010520697665022,0.036700603338284975,0.004789332741764249,038500 삼표시멘트,0.2727272727272727,247540 에코프로비엠,-0.056910569105691
2026-02-02,0.021053849979979094,-0.033518061088024804,-0.05543640923808495,038500 삼표시멘트,0.3,357780 솔브레인,-0.1412487205731831
2026-02-03,0.00025462692446800994,0.07228068537279395,0.0416274109261566,038500 삼표시멘트,0.2994505494505495,125490 한라캐스트,0.006726457399103
2026-02-04,0.00622826386136989,0.06170419650183119,0.02156233515034285,038500 삼표시멘트,0.299506694855532,036540 SFA반도체,-0.0317460317460317
2026-02-05,0.01927238839710835,-0.05145033594676296,-0.059695678942540846,043260 성호전자,0.0205011389521641,272210 한화시스템,-0.0951219512195121
2026-02-06,0.00460605628644444,0.015527538455411698,-0.01586687306501545,009830 한화솔루션,0.1538416729772238,278470 에이피알,-0.0773381294964028
2026-02-09,0.01537937106619518,0.05037919181994135,0.04130029309885415,358570 지아이이노베이션,0.1604562737642585,214450 파마리서치,-0.0088235294117646
2026-02-10,0.01384272554736583,0.014397460436788415,-0.026481535938772748,047040 대우건설,0.2235701906412477,272290 이녹스첨단소재,-0.065398335315101
2026-02-11,0.01902716911784923,0.04287065889338909,0.021022633151523598,032820 우리기술,0.3,032190 다우데이타,-0.033989266547406
2026-02-12,0.01963087845089932,-0.015410173395758477,-0.03936352318705255,032820 우리기술,0.1028340080971659,139480 이마트,-0.0783699059561128
2026-02-13,0.01001029770809595,-0.009991229030610812,-0.0172075933864053,088350 한화생명,0.0745272525027809,032820 우리기술,-0.0939794419970631
2026-02-19,0.02036162808477445,0.04929893537853085,0.03888961572966505,000250 삼천당제약,0.1943925233644861,099320 쎄트렉아이,-0.04251968503937
2026-02-20,0.01023162305001903,0.0015227564232500185,0.0002876526225082999,032820 우리기술,0.1467181467181466,009830 한화솔루션,-0.0940212762101524
2026-02-23,-0.00296161083741931,0.007783627446718401,-0.01571504997203505,048410 현대바이오,0.2999268471104608,290650 엘앤씨바이오,-0.1724429416737108
