evaluation_date,train_start_date,train_end_date,rolling_train_days,prediction_rows,ranking_rmse,ranking_ic,gap_rmse,gap_direction_accuracy,intraday_rmse,intraday_direction_accuracy,top10_average_predicted_return,top10_average_actual_return,top10_hit_rate,portfolio_daily_return,portfolio_cumulative_return,benchmark_return,benchmark_cumulative_return,best_stock,best_stock_return,worst_stock,worst_stock_return,model_version,feature_count,train_rows
2026-01-30,2025-01-17,2026-01-28,250,348,0.048676256375706856,0.06457152465076427,0.019397630967308187,0.4511494252873563,0.044320556959261015,0.5747126436781609,0.02010520697665022,0.036700603338284975,0.2,0.0367006033382849,0.0367006033382848,-0.0073092035703212,-0.0073092035703212,038500 삼표시멘트,0.2727272727272727,247540 에코프로비엠,-0.056910569105691,production_config_model_version,55,86721
2026-02-02,2025-01-20,2026-01-29,250,348,0.06373126310876948,-0.3686688693613204,0.03304126619204716,0.2442528735632184,0.04343316744701622,0.6810344827586207,0.021053849979979094,-0.033518061088024804,0.1,-0.0335180610880248,0.0019524091856,-0.0352955199942586,-0.0423467414238216,038500 삼표시멘트,0.3,357780 솔브레인,-0.1412487205731831,production_config_model_version,55,86725
2026-02-03,2025-01-21,2026-01-30,250,348,0.06997464028530373,-0.0882398038830739,0.03343520872308924,0.9051724137931034,0.04626326006568113,0.31896551724137934,0.00025462692446800994,0.07228068537279395,0.2,0.0722806853727939,0.0743742160324572,0.0452690363110054,0.0010052987120161,038500 삼표시멘트,0.2994505494505495,125490 한라캐스트,0.006726457399103,production_config_model_version,55,86729
2026-02-04,2025-01-22,2026-02-02,250,348,0.05433491419090037,0.12069952901933904,0.02772129481018787,0.5718390804597702,0.04654124973782866,0.6637931034482759,0.00622826386136989,0.06170419650183119,0.3,0.0617041965018312,0.1406676137750249,0.0267780893044935,0.0278103079951976,038500 삼표시멘트,0.299506694855532,036540 SFA반도체,-0.0317460317460317,production_config_model_version,55,86733
2026-02-05,2025-01-23,2026-02-03,250,347,0.049488742379419325,-0.22172278233165257,0.029789541599020905,0.1786743515850144,0.03589850264557008,0.3976945244956772,0.01927238839710835,-0.05145033594676296,0.0,-0.0514503359467629,0.0819798818427073,-0.017536203938767,0.0097864168238268,043260 성호전자,0.0205011389521641,272210 한화시스템,-0.0951219512195121,production_config_model_version,55,86737
2026-02-06,2025-01-24,2026-02-04,250,348,0.043699241271043854,-0.043156943854569425,0.042177746966936075,0.3333333333333333,0.041656917137998364,0.45977011494252873,0.00460605628644444,0.015527538455411698,0.3,0.0155275384554116,0.0987803660660018,-0.0164266707970925,-0.0068010122207137,009830 한화솔루션,0.1538416729772238,278470 에이피알,-0.0773381294964028,production_config_model_version,55,86740
2026-02-09,2025-01-31,2026-02-05,250,348,0.057384030126037676,0.03466886770192264,0.027404515563298995,0.9626436781609196,0.04412062757563447,0.5229885057471264,0.01537937106619518,0.05037919181994135,0.1,0.0503791918199413,0.1541360328960264,0.0360113816451642,0.0289654555777969,358570 지아이이노베이션,0.1604562737642585,214450 파마리서치,-0.0088235294117646,production_config_model_version,55,86744
2026-02-10,2025-02-03,2026-02-06,250,348,0.04250345553390368,-0.10332240122267039,0.020892218067505384,0.6724137931034483,0.03684562451892193,0.4454022988505747,0.01384272554736583,0.014397460436788415,0.2,0.0143974604367883,0.1707526607683189,0.0143808691776292,0.0437628731827608,047040 대우건설,0.2235701906412477,272290 이녹스첨단소재,-0.065398335315101,production_config_model_version,55,86748
2026-02-11,2025-02-04,2026-02-09,250,348,0.03692769362691025,0.2378992658351878,0.015921002691260393,0.6724137931034483,0.03309854643694613,0.40229885057471265,0.01902716911784923,0.04287065889338909,0.1,0.042870658893389,0.2209435987366452,0.0100278155908407,0.0542295347956038,032820 우리기술,0.3,032190 다우데이타,-0.033989266547406,production_config_model_version,55,86752
2026-02-12,2025-02-05,2026-02-10,250,348,0.03815706092906424,-0.03175930848703458,0.01432200952622054,0.735632183908046,0.03517229312142524,0.49712643678160917,0.01963087845089932,-0.015410173395758477,0.1,-0.0154101733957584,0.2021286461736722,0.0184587817033632,0.0736893276436341,032820 우리기술,0.1028340080971659,139480 이마트,-0.0783699059561128,production_config_model_version,55,86756
2026-02-13,2025-02-06,2026-02-11,250,348,0.032037845142324335,0.16244152544962046,0.01770891730453489,0.735632183908046,0.0255960113067738,0.5862068965517241,0.01001029770809595,-0.009991229030610812,0.1,-0.0099912290306108,0.1901179035454929,-0.0078106509087822,0.0653031151209244,088350 한화생명,0.0745272525027809,032820 우리기술,-0.0939794419970631,production_config_model_version,55,86759
2026-02-19,2025-02-07,2026-02-12,250,348,0.05492135765562229,0.22872806541447863,0.020856429273764153,0.8908045977011494,0.04294312162095071,0.632183908045977,0.02036162808477445,0.04929893537853085,0.1,0.0492989353785308,0.2487894491652149,0.0233834254280315,0.0902135510716044,000250 삼천당제약,0.1943925233644861,099320 쎄트렉아이,-0.04251968503937,production_config_model_version,55,86762
2026-02-20,2025-02-10,2026-02-13,250,348,0.037899699881407886,0.21876710444018346,0.01914188272675888,0.4511494252873563,0.03408414637318186,0.5028735632183908,0.01023162305001903,0.0015227564232500185,0.1,0.00152275642325,0.2506910513202183,0.017066386981724,0.1088195574269119,032820 우리기술,0.1467181467181466,009830 한화솔루션,-0.0940212762101524,production_config_model_version,55,86765
2026-02-23,2025-02-11,2026-02-19,250,348,0.04584911074436322,0.11897218998437659,0.026453125628992675,0.16091954022988506,0.042233315125640526,0.6982758620689655,-0.00296161083741931,0.007783627446718401,0.2,0.0077836274467183,0.2604259645146394,0.0051291237449554,0.1145068301477811,048410 현대바이오,0.2999268471104608,290650 엘앤씨바이오,-0.1724429416737108,production_config_model_version,55,86768
2026-02-24,2025-02-12,2026-02-20,250,348,0.03713852603258368,-0.12616600891702073,0.015398650470352592,0.40804597701149425,0.03470905543633603,0.4109195402298851,0.022405951792360424,0.023543646922181118,0.2,0.0235436469221811,0.2901009883947218,0.0046579671190815,0.1196981663166014,222080 씨아이에스,0.1756440281030444,088350 한화생명,-0.1088777219430485,production_config_model_version,55,86771
2026-02-25,2025-02-13,2026-02-23,250,348,0.03846206291239838,-0.021263658257610157,0.017647980430381485,0.7614942528735632,0.036466286747113864,0.5402298850574713,0.01061296519922624,0.0021323507137618212,0.0,0.0021323507137618,0.2928519361581503,0.0138793604851431,0.1352388608014634,047040 대우건설,0.0789149198520344,000250 삼천당제약,-0.0489396411092984,production_config_model_version,55,86774
2026-02-26,2025-02-14,2026-02-24,250,348,0.046319140883879444,0.021834996487470084,0.020461246926185086,0.5862068965517241,0.039538592261616434,0.3764367816091954,0.017134299199455923,0.02403862656159021,0.1,0.0240386265615902,0.3239303210508848,0.0024185710775246,0.1379845166762798,047040 대우건설,0.1485714285714285,222080 씨아이에스,-0.0396383866481223,production_config_model_version,55,86777
2026-02-27,2025-02-17,2026-02-25,250,348,0.03841703232466646,0.11613965235270564,0.023549960417739556,0.34195402298850575,0.039707573879602484,0.47701149425287354,0.02101322999732502,0.0029706637612993093,0.1,0.0029706637612992,0.3278632728781161,-0.0071941447590534,0.1297976913297491,226950 올릭스,0.1292346298619824,036540 SFA반도체,-0.052757793764988,production_config_model_version,55,86779
2026-03-03,2025-02-18,2026-02-26,250,348,0.08139731737497737,-0.2340619926971578,0.03868441627973539,0.1896551724137931,0.05630061754562241,0.12643678160919541,0.02715193061529663,-0.09684964418678457,0.0,-0.0968496441867846,0.1992601873711714,-0.0440902853012653,0.0799845887863095,277810 레인보우로보틱스,-0.0232558139534884,042700 한미반도체,-0.1282843894899537,production_config_model_version,55,86781
2026-03-04,2025-02-19,2026-02-27,250,348,0.14702498861184912,-0.1678097879255253,0.05178765063689293,0.11494252873563218,0.11784551439337428,0.011494252873563218,0.02304467624120062,-0.16876890948678586,0.0,-0.1687689094867858,-0.0031376466423796,-0.1259704662738872,-0.0560615734317141,171090 선익시스템,-0.1007431874483897,032820 우리기술,-0.2520515826494724,production_config_model_version,55,86783
2026-03-05,2025-02-20,2026-03-03,250,348,0.09764258921890288,0.43995640073119346,0.06393192337898507,0.9971264367816092,0.055556387883956636,0.3620689655172414,0.02620167994384537,0.1490091934185496,0.0,0.1490091934185496,0.1454040085807564,0.076147371926111,0.0158168570115291,079550 LIG디펜스앤에어로스페이스,0.2326332794830372,038500 삼표시멘트,0.0889057750759878,production_config_model_version,55,86785
2026-03-06,2025-02-21,2026-03-04,250,348,0.04805881808914827,0.09885028457290315,0.027344714791201825,0.19827586206896552,0.048988119636610164,0.8879310344827587,0.02034857728150006,0.03211349380744553,0.0,0.0321134938074455,0.1821869331173378,0.0145054006360422,0.0305516874953264,025900 동화기업,0.1050920910075838,090710 휴림로봇,-0.0100076982294072,production_config_model_version,55,86787
2026-03-09,2025-02-24,2026-03-05,250,348,0.057498336539763814,-0.029493451420484432,0.06763187468594248,0.04310344827586207,0.048914537136354276,0.34770114942528735,-0.0045071435869222,-0.050873378634220576,0.0,-0.0508733786342206,0.1220450896524314,-0.0403872817888672,-0.01106949390554,047040 대우건설,0.0045610034207526,064760 티씨케이,-0.1307692307692307,production_config_model_version,55,86789
2026-03-10,2025-02-25,2026-03-06,250,348,0.08979948671300099,0.08077400837591865,0.039365498581087184,0.9626436781609196,0.046348458023574075,0.25,0.11499801421162774,0.00367346435743863,0.1,0.0036734643574386,0.1261668822967085,0.0267106416878506,0.0153454744969339,032820 우리기술,0.1936416184971099,226950 올릭스,-0.0827586206896552,production_config_model_version,55,86791
2026-03-11,2025-02-26,2026-03-09,250,348,0.046970117479989575,0.12385006255013661,0.025414527877276556,0.9396551724137931,0.048424692091936575,0.3390804597701149,0.023094316072551538,0.05977712300748976,0.2,0.0597771230074897,0.19348589854672,0.017836053288272,0.0334552304860669,038500 삼표시멘트,0.2994269340974211,048410 현대바이오,-0.0445009535918626,production_config_model_version,55,86793
2026-03-12,2025-02-27,2026-03-10,250,348,0.03198274185890033,-0.015064358557386363,0.015552497546129907,0.2442528735632184,0.03165852870705013,0.4482758620689655,0.014988102563073471,0.006270346744269397,0.0,0.0062703467442693,0.2009694689650039,0.0031898479262249,0.036751795509879,015750 성우하이텍,0.0619718309859154,087010 펩트론,-0.0413907284768212,production_config_model_version,55,86795
2026-03-13,2025-02-28,2026-03-11,250,348,0.039991566307413316,-0.029717200330473325,0.03381112353867736,0.05747126436781609,0.05046144470924229,0.22126436781609196,0.00728787775001122,-0.004219975922411431,0.1,-0.0042199759224114,0.1959014067224203,-0.0144862815762847,0.0217331170754042,047040 대우건설,0.1778202676864244,038500 삼표시멘트,-0.0990099009900989,production_config_model_version,55,86797
2026-03-16,2025-03-04,2026-03-12,250,348,0.038996498311435875,0.018753424002412526,0.03725438468630711,0.5459770114942529,0.031119899212808763,0.6925287356321839,-0.036478826142679915,-0.01721876872484992,0.0,-0.0172187687248499,0.1753094569823441,-0.009923671444541,0.011593773317541,031980 피에스케이홀딩스,0.0700389105058365,038500 삼표시멘트,-0.0604395604395604,production_config_model_version,55,86799
2026-03-17,2025-03-05,2026-03-13,250,348,0.0414992048192321,0.05973419294256484,0.02804228354592085,0.09482758620689655,0.03012783477465739,0.5402298850574713,-0.005275531804286553,-0.006482300400275409,0.1,-0.0064823004002754,0.1676907480189,0.0203723116843592,0.032202276965523,009830 한화솔루션,0.0738327654480155,043260 성호전자,-0.0961538461538461,production_config_model_version,55,86801
