date,feature_date,target_date,ticker,prev_close,target_ranking,target_gap,target_intraday,ticker_name,evaluation_date,train_start_date,train_end_date,rolling_train_days,ranking_score,pred_gap,pred_intraday,expected_return,pred_open_price,pred_close_price,AI Score,AI Rank,AI Percentile,rank
2026-01-30,2026-01-29,2026-01-30,038500,6600.0,0.2727272727272727,0.034848484848484906,0.2298682284040996,삼표시멘트,2026-01-30,2025-01-17,2026-01-28,250,0.03231901456218331,0.014884956436407894,0.016128490187634178,0.03101344662404207,6698.240712480293,6806.273222085943,100.0,1 / 348,Top 1%,1
2026-01-30,2026-01-29,2026-01-30,058610,158100.0,-0.027830487033523088,-0.005692599620493399,-0.022264631043257044,에스피지,2026-01-30,2025-01-17,2026-01-28,250,0.02842040935707258,-0.0026114785647585723,0.03176288401785364,0.029151405453095067,157687.12523891169,162695.723108984,89.2,2 / 348,Top 1%,2
2026-01-30,2026-01-29,2026-01-30,067310,36750.0,0.027210884353741527,0.0,0.027210884353741527,하나마이크론,2026-01-30,2025-01-17,2026-01-28,250,0.023622342251111778,0.005707406985380293,0.020977893562216778,0.02668530054759707,36959.747206712724,37735.084849701576,75.9,3 / 348,Top 1%,3
2026-01-30,2026-01-29,2026-01-30,232140,18640.0,0.05847639484978551,-0.0021459227467811592,0.060752688172043046,와이씨,2026-01-30,2025-01-17,2026-01-28,250,0.0224582830195477,0.006823818676843674,0.010750430533590202,0.017574249210433875,18767.195980136366,18968.951416831096,72.6,4 / 348,Top 1%,4
2026-01-30,2026-01-29,2026-01-30,032190,28300.0,-0.010600706713780883,0.0017667844522968323,-0.012345679012345734,다우데이타,2026-01-30,2025-01-17,2026-01-28,250,0.022103396259312843,0.0023821653266116356,0.010633817300655135,0.01301598262726677,28367.41527874311,28669.069190109072,71.7,5 / 348,Top 1%,5
2026-01-30,2026-01-29,2026-01-30,141080,209000.0,-0.028708133971291905,-0.0430622009569378,0.014999999999999902,리가켐바이오,2026-01-30,2025-01-17,2026-01-28,250,0.021901447777348267,0.0031782728298409774,0.004554519121923152,0.0077327919517641295,209664.2590214368,210619.17889833378,71.1,6 / 348,Top 2%,6
2026-01-30,2026-01-29,2026-01-30,036540,6860.0,0.1428571428571428,-0.002915451895043719,0.14619883040935666,SFA반도체,2026-01-30,2025-01-17,2026-01-28,250,0.02169857111779897,0.019051793282660014,0.009548522075229255,0.028600315357889268,6990.695301919047,7057.446110330622,70.5,7 / 348,Top 2%,7
2026-01-30,2026-01-29,2026-01-30,218410,49350.0,-0.03039513677811545,0.012158054711246091,-0.042042042042042094,RFHIC,2026-01-30,2025-01-17,2026-01-28,250,0.021389708408980756,0.004083531342464824,0.01097891870321637,0.015062450045681193,49551.52227175063,50095.54440639279,69.7,8 / 348,Top 2%,8
2026-01-30,2026-01-29,2026-01-30,247540,246000.0,-0.05691056910569103,0.016260162601626105,-0.07199999999999995,에코프로비엠,2026-01-30,2025-01-17,2026-01-28,250,0.021116491274774676,0.0022040653288005856,0.012522762284222265,0.01472682761302285,246542.20007088498,249629.58943540187,68.9,9 / 348,Top 3%,9
2026-01-30,2026-01-29,2026-01-30,101490,89200.0,0.020179372197309364,-0.0022421524663677195,0.022471910112359605,에스앤에스텍,2026-01-30,2025-01-17,2026-01-28,250,0.021059027900758146,-0.002186678781516116,0.01967597911722665,0.017489300335710535,89004.94825268876,90756.2077558385,68.8,10 / 348,Top 3%,10
2026-02-02,2026-01-30,2026-02-02,100790,17600.0,-0.03409090909090906,0.019886363636363535,-0.05292479108635095,미래에셋벤처투자,2026-02-02,2025-01-20,2026-01-29,250,0.036890560286887364,0.013336788548979179,0.025754905391446824,0.039091693940426005,17834.727478462035,18294.05919735206,100.0,1 / 348,Top 1%,1
2026-02-02,2026-01-30,2026-02-02,036540,7840.0,-0.11096938775510201,-0.017857142857142905,-0.09480519480519478,SFA반도체,2026-02-02,2025-01-20,2026-01-29,250,0.026966073720241814,0.027536164256338477,-0.0025759283750990294,0.024960235881239447,8055.883527769694,8035.132148804019,75.3,2 / 348,Top 1%,2
2026-02-02,2026-01-30,2026-02-02,043260,17390.0,-0.031627372052904,0.0005750431282345314,-0.03218390804597704,성호전자,2026-02-02,2025-01-20,2026-01-29,250,0.026235894107611738,0.009739513104422677,0.014213295241774287,0.023952808346196966,17559.37013288591,17808.94664484421,73.4,3 / 348,Top 1%,3
2026-02-02,2026-01-30,2026-02-02,038500,8400.0,0.30000000000000004,0.0630952380952381,0.2228443449048152,삼표시멘트,2026-02-02,2025-01-20,2026-01-29,250,0.022868177360749975,0.019146369307296813,-0.003513790266998176,0.015632579040298637,8560.829502181294,8530.748542799098,65.1,4 / 348,Top 1%,4
2026-02-02,2026-01-30,2026-02-02,218410,47850.0,0.0052246603970742544,-0.020898641588296796,0.026680896478121774,RFHIC,2026-02-02,2025-01-20,2026-01-29,250,0.022461196597371953,0.006977537354961953,0.014358337776866383,0.021335875131828337,48183.875162434924,48875.71551741553,64.0,5 / 348,Top 1%,5
2026-02-02,2026-01-30,2026-02-02,357780,488500.0,-0.14124872057318316,-0.06755373592630498,-0.07903402854006591,솔브레인,2026-02-02,2025-01-20,2026-01-29,250,0.020739434502411492,0.006002694441436152,0.011899532100585499,0.01790222654202165,491432.3162346416,497280.13085694076,59.8,6 / 348,Top 2%,6
2026-02-02,2026-01-30,2026-02-02,290650,92200.0,-0.04772234273318876,-0.05965292841648595,0.012687427912341454,엘앤씨바이오,2026-02-02,2025-01-20,2026-01-29,250,0.01690625121875324,0.008380755243998363,0.007942317200797907,0.01632307244479627,92972.70563349665,93711.1243526543,50.2,7 / 348,Top 2%,7
2026-02-02,2026-01-30,2026-02-02,402340,570000.0,-0.11403508771929827,-0.05789473684210522,-0.059590316573556845,SK스퀘어,2026-02-02,2025-01-20,2026-01-29,250,0.0167088667335213,0.006088222481532794,0.00797342389117662,0.014061646372709414,573470.2868144737,578042.8085002401,49.7,8 / 348,Top 2%,8
2026-02-02,2026-01-30,2026-02-02,319660,61500.0,-0.09756097560975607,-0.021138211382113803,-0.07807308970099669,피에스케이,2026-02-02,2025-01-20,2026-01-29,250,0.01504696448199644,0.013475469586269502,0.002078604341175018,0.01555407392744452,62328.74137955558,62458.2981719671,45.6,9 / 348,Top 3%,9
