window,evaluation_days,prediction_rows,top10_rows,feature_count,ranking_rmse,ranking_mae,ranking_r2,ranking_pearson,ranking_spearman_ic,top10_hit_rate,top20_hit_rate,ndcg_at_10,gap_rmse,gap_direction_accuracy,intraday_rmse,intraday_direction_accuracy,portfolio_daily_average_return,portfolio_cumulative_return,portfolio_cagr,portfolio_win_rate,portfolio_sharpe,portfolio_mdd,portfolio_volatility,training_time_total_seconds,training_time_mean_seconds,prediction_time_total_seconds,prediction_time_mean_seconds,train_rows_mean,model_size_mean_bytes
150,90,31319,900,55,0.05692291609788085,0.04015514120984138,-0.1918261970545323,-0.0024126361947311393,0.0014463611806054026,0.0811111111111111,0.11166666666666668,0.4643253832837464,0.03301471020677302,0.5254637759826304,0.044830289247619864,0.48542418340304605,0.0021931998719607955,0.1157152618429389,0.3587809413598584,0.5,0.786846495037827,-0.22531324841346423,0.0442474724607219,267.2137282000622,2.9690414244451353,1.2380813998752274,0.013756459998613637,52171.97777777778,1913069.2333333334
200,90,31319,900,55,0.053808350633443545,0.03764290894966266,-0.06497155090308171,0.09032984650465192,0.025957994494465158,0.08666666666666667,0.10833333333333335,0.4771567787387772,0.031014025503152402,0.5202911970369424,0.04349075042080441,0.489862383856445,0.005503582479806536,0.5015184423249304,2.1209432963693424,0.6111111111111112,1.980011058225393,-0.2645607476370174,0.04412433102636551,315.6218788002734,3.5069097644474825,1.3023019002866931,0.01447002111429659,69526.38888888889,1923917.0777777778
250,90,31319,900,55,0.053260198849878364,0.03720363003934797,-0.04338409829914203,0.09824436549927686,0.004194630339284213,0.09555555555555555,0.11222222222222222,0.47841118695425044,0.030362828385258205,0.5433123662952202,0.043295161570191136,0.48848941537086116,0.006151859822311694,0.5907716998390984,2.6686138165014506,0.5555555555555556,2.201132330435231,-0.24927334483998353,0.04436704953713099,347.14316219999455,3.857146246666606,1.2915288000367582,0.014350320000408425,86835.52222222222,1926388.322222222
300,90,31319,900,55,0.0531020166691893,0.03709845291745611,-0.037195624167140506,0.1085743404158271,0.0033174538546860317,0.0811111111111111,0.11388888888888891,0.4855056154280487,0.03064157656025574,0.5353299913790351,0.04342136545416712,0.4803793224560171,0.00835266941773415,0.9613317326651805,5.59390906695535,0.5888888888888889,3.230592138957236,-0.22690984303394768,0.041043409589906946,374.18916309974156,4.157657367774906,1.2924565002322197,0.014360627780357996,104084.72222222222,1928989.7444444445
350,90,31319,900,55,0.05379840010592922,0.03758633629054885,-0.06457770687088504,0.05554253844685547,0.010649433029190612,0.08222222222222221,0.11333333333333334,0.48564996521059667,0.030596072169880455,0.5489000287365497,0.04321010269829432,0.4666496376001788,0.009767739531865926,1.2115029861322695,8.228371819928405,0.6111111111111112,3.641314546333104,-0.23137250395114706,0.04258298920964617,415.27045499975793,4.614116166663977,1.2826548998127691,0.014251721109030769,121259.82222222222,1931646.4444444445
500,90,31319,900,55,0.05485198516360959,0.0380405562270617,-0.10668327384704601,0.004650301515120092,-0.006218485693067657,0.08222222222222222,0.11333333333333334,0.46403091113279255,0.032341354108986746,0.5365433123662953,0.04326940459283943,0.4768670774928957,0.00423778275606787,0.3296036295213094,1.220353571666707,0.5555555555555556,1.4530646107743619,-0.2339419175811842,0.04629712622440798,523.4381894997205,5.815979883330227,1.2537047000369057,0.013930052222632286,172398.5,1941723.8333333333
