prediction_date,AI Rank,AI Percentile,AI Score,ticker,ticker_name,Expected Return(%),Gap Forecast(%),Intraday Forecast(%),prev_close,pred_open_price,pred_close_price
2026-06-15,1 / 348,Top 1%,100.0,445680,큐리옥스바이오시스템즈,1.90%,1.34%,0.56%,68900,69825,70215
2026-06-15,2 / 348,Top 1%,99.5,080220,제주반도체,1.19%,0.40%,0.78%,102500,102913,103720
2026-06-15,3 / 348,Top 1%,97.9,018880,한온시스템,2.60%,2.24%,0.36%,4700,4805,4822
2026-06-15,4 / 348,Top 1%,94.5,005490,POSCO홀딩스,1.82%,1.14%,0.68%,377000,381296,383894
2026-06-15,5 / 348,Top 1%,91.7,034020,두산에너빌리티,2.04%,1.39%,0.65%,93100,94392,95009
2026-06-15,6 / 348,Top 2%,91.1,466100,클로봇,1.43%,1.00%,0.43%,36450,36814,36973
2026-06-15,7 / 348,Top 2%,90.8,004020,현대제철,1.71%,1.29%,0.42%,34950,35401,35549
2026-06-15,8 / 348,Top 2%,90.6,009540,HD한국조선해양,1.47%,0.75%,0.72%,398000,400979,403871
2026-06-15,9 / 348,Top 3%,89.5,086280,현대글로비스,1.55%,0.96%,0.60%,208500,210493,211752
2026-06-15,10 / 348,Top 3%,89.1,001440,대한전선,1.64%,1.49%,0.15%,37850,38412,38470
