quantile,ranking_score
0.0,-0.0513418030088193
0.01,-0.03722417008517587
0.05,-0.01828293158969627
0.1,-0.011796861433771559
0.25,-0.0029780177063687
0.5,0.0030494235146033
0.75,0.0074869844007798
0.9,0.0137815421380419
0.95,0.02192550509379924
0.99,0.07840865237407171
1.0,0.1518241406795956
