feature,gap_model_importance,intraday_model_importance,ranking_model_importance,mean_importance
usdkrw_return_1d,605.3777777777777,540.6888888888889,552.4444444444445,566.1703703703703
sox_return_1d,607.1,481.76666666666665,595.3777777777777,561.4148148148148
wti_return_1d,596.6777777777778,405.03333333333336,464.05555555555554,488.5888888888889
nasdaq_return_1d,536.9666666666667,435.6222222222222,471.6333333333333,481.4074074074074
vix_change_1d,453.24444444444447,451.27777777777777,457.4888888888889,454.0037037037037
sp500_return_1d,428.44444444444446,303.6222222222222,340.52222222222224,357.52962962962965
atr_percent,157.15555555555557,129.13333333333333,132.3111111111111,139.53333333333333
trading_value,164.55555555555554,102.34444444444445,106.32222222222222,124.40740740740739
return_60d,112.04444444444445,110.53333333333333,118.0111111111111,113.52962962962961
volatility_20d,105.8,114.28888888888889,115.83333333333333,111.97407407407407
intraday_range_5d,78.77777777777777,122.57777777777778,116.52222222222223,105.95925925925927
return_3d,96.14444444444445,112.27777777777777,103.85555555555555,104.0925925925926
atr_rank_pct,74.0,128.42222222222222,107.92222222222222,103.44814814814815
return_1d,117.91111111111111,94.54444444444445,95.43333333333334,102.62962962962963
upper_shadow,70.28888888888889,108.74444444444444,104.17777777777778,94.4037037037037
momentum_accel,100.38888888888889,97.08888888888889,85.02222222222223,94.16666666666667
lower_shadow,87.47777777777777,97.38888888888889,87.3,90.72222222222221
volatility_rank_pct,85.43333333333334,89.76666666666667,93.06666666666666,89.42222222222222
close_ma60_ratio,80.41111111111111,97.35555555555555,77.2,84.9888888888889
body,79.24444444444444,94.5,78.18888888888888,83.97777777777777
macd_hist_ratio,74.0111111111111,82.61111111111111,78.47777777777777,78.36666666666666
low_20d,87.32222222222222,63.922222222222224,77.07777777777778,76.10740740740741
volatility_5d,80.14444444444445,68.57777777777778,74.93333333333334,74.55185185185185
close_ma5_ratio,56.25555555555555,79.3,76.44444444444444,70.66666666666667
high_20d,80.65555555555555,55.477777777777774,60.67777777777778,65.60370370370369
return_5d,54.93333333333333,68.35555555555555,67.54444444444445,63.611111111111114
rsi_change_5d,43.93333333333333,63.955555555555556,71.5111111111111,59.79999999999999
close_ma20_ratio,55.06666666666667,54.18888888888889,51.422222222222224,53.55925925925926
close_position,46.53333333333333,64.28888888888889,48.855555555555554,53.22592592592593
momentum_diff,43.7,60.44444444444444,54.25555555555555,52.79999999999999
close_to_20d_high,48.144444444444446,64.02222222222223,46.144444444444446,52.77037037037038
return_20d,36.58888888888889,64.87777777777778,54.922222222222224,52.12962962962964
close_to_20d_low,34.65555555555556,68.08888888888889,52.58888888888889,51.77777777777777
bb_width,36.71111111111111,53.522222222222226,55.74444444444445,48.65925925925925
macd_rank_pct,32.13333333333333,61.888888888888886,47.355555555555554,47.12592592592592
relative_trading_value,38.28888888888889,59.31111111111111,42.74444444444445,46.78148148148148
rsi14,27.91111111111111,57.87777777777778,53.48888888888889,46.425925925925924
return_5d_rank_pct,38.05555555555556,46.86666666666667,51.8,45.574074074074076
trading_value_rank_pct,37.65555555555556,53.84444444444444,40.67777777777778,44.05925925925926
bb_width_rank_pct,29.322222222222223,48.94444444444444,52.08888888888889,43.45185185185185
bb_position_change_5d,34.022222222222226,48.65555555555556,47.5,43.39259259259259
volume_change_rank_pct,30.033333333333335,53.18888888888889,40.422222222222224,41.214814814814815
volume_change_1d,29.4,50.62222222222222,42.888888888888886,40.97037037037037
return_20d_rank_pct,24.42222222222222,50.44444444444444,47.98888888888889,40.95185185185185
momentum_diff_rank_pct,31.833333333333332,50.72222222222222,40.28888888888889,40.94814814814814
bb_position_rank_pct,35.977777777777774,47.17777777777778,37.58888888888889,40.24814814814815
breakout_strength,19.755555555555556,52.51111111111111,36.77777777777778,36.34814814814815
low_rebound_rank_pct,21.455555555555556,43.977777777777774,41.544444444444444,35.65925925925926
relative_return_20d_vs_market,19.988888888888887,47.27777777777778,37.333333333333336,34.86666666666667
rsi_rank_pct,25.366666666666667,39.84444444444444,34.98888888888889,33.4
relative_return_5d_vs_market,24.666666666666668,40.044444444444444,32.75555555555555,32.48888888888889
breakout_rank_pct,27.22222222222222,37.75555555555555,30.5,31.825925925925926
body_ratio,24.122222222222224,38.4,32.31111111111111,31.611111111111114
bb_position,26.666666666666668,31.22222222222222,26.57777777777778,28.155555555555555
relative_return_20d_vs_sector,5.6,10.811111111111112,9.088888888888889,8.5
