evaluation_date,sample_count,daily_spearman_ic,daily_pearson_ic,ranking_score_mean,ranking_score_std,actual_return_mean,actual_return_std
2026-01-30,348,0.06457152465076427,0.18298706203217177,0.006819980234153008,0.0061156957520977885,-0.0012007018179946555,0.04882171382617368
2026-02-02,348,-0.3686688693613204,-0.14103396395666248,0.005346496487929629,0.004272802202835239,-0.04426907132325024,0.03923062327054419
2026-02-03,348,-0.0882398038830739,-0.0004456102808488183,-0.005548533519585134,0.0031329966871375407,0.04614948421967701,0.0471192800877553
2026-02-04,348,0.12069952901933904,0.07979264964394042,-0.004401896669370772,0.0038253515219261016,0.016843611075778427,0.05024097756425705
2026-02-05,347,-0.22172278233165257,-0.21098740868107232,0.003679378917175838,0.0034702658148457887,-0.026359860497305994,0.03850738342567574
2026-02-06,348,-0.043156943854569425,-0.01117830123854873,0.005662887307041643,0.0029480016929655847,-0.01717133726798271,0.037162918258349706
2026-02-09,348,0.03466886770192264,-0.010636775043183605,0.012424107663806588,0.002902609517545862,0.046637548367474725,0.04601322980520973
2026-02-10,348,-0.10332240122267039,0.06248213370979289,0.008099570657285598,0.003086479038904529,0.0012639193550308058,0.042090343304016675
2026-02-11,348,0.2378992658351878,0.22271187343881296,-0.0030923749836245704,0.003512727269665264,0.004415296490814094,0.036828541011515656
2026-02-12,348,-0.03175930848703458,-0.04032304054025591,0.004790990121584106,0.0027376203760893715,0.012995364912334747,0.037107469779512035
2026-02-13,348,0.16244152544962046,0.029191585367038607,-0.002529519507203551,0.003983465444353205,-0.012145672382566492,0.030460808017042814
2026-02-19,348,0.22872806541447863,0.17694868649328244,0.008567708944316058,0.002617010555731491,0.03502262054325176,0.04859346872037383
2026-02-20,348,0.21876710444018346,0.03596257655813896,-0.0006194976408732243,0.0030068062570987545,0.007522609950330175,0.037054208606106774
2026-02-23,348,0.11897218998437659,0.1728862002993386,-0.012369266950830885,0.0029301918112162695,-0.0001880712688709808,0.04467739985834696
2026-02-24,348,-0.12616600891702073,0.016892601979467972,0.003082049012445015,0.0034412935073301286,0.007775875907801328,0.036791092156037535
2026-02-25,348,-0.021263658257610157,-0.10899251056568895,0.004545111784906418,0.0023078537799783323,0.007078351107888941,0.038113742020335496
2026-02-26,348,0.021834996487470084,0.05956802968353558,0.007703876899136342,0.003294249957032782,0.00845829998275253,0.04645919050953139
2026-02-27,348,0.11613965235270564,0.12448722837010284,0.006445147848186395,0.003430850050272571,-0.003474115932206844,0.03743868886840714
2026-03-03,348,-0.2340619926971578,-0.1687698632076712,0.011100746135918885,0.004592646744916024,-0.04501178373418618,0.0581013427152791
2026-03-04,348,-0.1678097879255253,-0.12385369650879746,0.008295229807237025,0.0025300768210625964,-0.13320299121646842,0.03959770451217788
2026-03-05,348,0.43995640073119346,0.25239802374020803,0.027565805427085425,0.0032908806626316366,0.1037125422179387,0.06195651115678657
2026-03-06,348,0.09885028457290315,6.423693721589638e-05,0.010022739430048945,0.004034886616416893,0.029499127897942217,0.04381353184795167
2026-03-09,348,-0.029493451420484432,-0.05938247853745938,0.00037216447333950634,0.003674297657159162,-0.04323437902110713,0.03713315436395787
2026-03-10,348,0.08077400837591865,0.1183401090801219,0.10625500224726632,0.02180200349939611,0.029482986209842403,0.0439030268522537
2026-03-11,348,0.12385006255013661,0.20481123668059406,0.01731340853601588,0.0030978626685477036,0.009119062041897155,0.04685151748488876
2026-03-12,348,-0.015064358557386363,-0.018010357894676685,0.007246113618745831,0.004410322221226809,0.005149596688992728,0.03157480868421323
2026-03-13,348,-0.029717200330473325,0.06293198258109681,-0.015427732597832644,0.0038642035528104243,-0.005287753284515397,0.03879115160773525
2026-03-16,348,0.018753424002412526,0.024604051581090507,0.00610364593193197,0.003332388284013671,-0.009516171054373402,0.03570964100673073
2026-03-17,348,0.05973419294256484,0.09722287599916911,-0.013281981659391099,0.0022610310517035786,0.012890558736224446,0.03239290567940462
2026-03-18,348,0.2098351338697905,0.26587985842258277,0.01741010643546368,0.004191908011033381,0.02999700143439484,0.03741043425482812
2026-03-19,348,-0.003620600735552434,0.049856237637013544,0.0021276550337678275,0.0031262287939942133,-0.020478093212405544,0.030976071405580008
2026-03-20,348,0.1386442891229143,0.2217025022823786,0.006194289604425447,0.0016092876565974629,0.019212097401992735,0.04208157518517681
2026-03-23,348,-0.26171306800671124,-0.10702039457527891,0.00926354708689665,0.0048450290298811885,-0.05802976189676223,0.029086167666353094
2026-03-24,348,0.04312620226764645,0.02317149482870113,0.013097309745500383,0.0024107070268711726,0.021733149285472184,0.039130069940539344
2026-03-25,348,-0.12862273266771027,0.09265619432121561,0.003264328637698802,0.0033998786821671932,0.028327514617595757,0.04380667131430106
2026-03-26,348,0.10360347630477612,0.07013720075520981,-0.017422167859799477,0.0035140870059595947,-0.02165452735071682,0.03416246638416901
2026-03-27,348,-0.17799275511267862,-0.1267624133156421,0.008830731615247217,0.003125427987929444,0.0041713178976139865,0.032832159975086386
2026-03-30,348,0.07187171704674905,0.0027789410215971954,-0.010328188154170602,0.0031293017507323865,-0.03212215728255492,0.03119365321226127
2026-03-31,348,0.3414868813620136,0.30398912300798386,-0.023916494840727526,0.0023237451193749013,-0.028956577306687766,0.033248039356439774
2026-04-01,348,0.054288363579985836,0.21826921200561453,-0.025775671587669996,0.0025696340652394656,0.05953146703597977,0.04658259457403932
2026-04-02,348,0.027838379765751903,-0.017575452877713657,0.0118172898419473,0.0029849663484013806,-0.04419858783125773,0.03269013616526891
2026-04-03,348,0.15683671094191665,0.1680172951939866,0.013449313490592717,0.005787001531715203,0.009028825367666573,0.03726052855883325
2026-04-06,348,-0.13387280497740173,-0.11875566399006307,0.05657014386948509,0.01323853469743416,-0.003108659300524511,0.03137751919095242
2026-04-07,348,-0.09605049546237766,-0.14354355952645037,0.001845212609607846,0.0015746140685604705,-0.0061541429153263985,0.02715657818697936
2026-04-08,348,-0.17792359591513784,0.04598087370482243,-0.004951369836179982,0.0018310028634547894,0.053894353446063976,0.04420680948892386
2026-04-09,348,-0.11234615007587388,-0.048995749529010514,0.0056584412070745,0.0019655708855442974,-0.0036291191820772032,0.033678678875303694
2026-04-10,348,0.02588607802235607,0.009259269761350095,-0.009399131449253157,0.00476671477712055,0.01377680453148629,0.03234284196603984
2026-04-13,348,-0.15897396146023998,-0.15613828545859748,-0.006256101090765618,0.002534914424413327,-0.0019031188397249362,0.03413134609240199
2026-04-14,348,-0.0650900669572539,-0.124855847734992,-0.00121979334027912,0.0024106974350842835,0.01728012205891456,0.03275042114995039
2026-04-15,348,0.15869965513824086,0.17163358490752434,-0.008975413396224895,0.0018541161545786052,0.02207362858819737,0.03837090969449521
2026-04-16,348,-0.015318148824729363,-0.049263025780350515,0.004795676011606353,0.0022957918370814794,0.018640779245239863,0.036458217849152395
2026-04-17,348,-0.059821345057044804,-0.052613762695076526,0.0037106692045247767,0.002074676772525716,0.004835148869193326,0.0328979477919778
2026-04-20,348,-0.11307750313819996,-0.12495600788109318,-0.0035656692798968705,0.0024058111692728925,0.001338139898742625,0.03718464303195515
2026-04-21,348,0.053840363189959446,-0.005659744660816791,0.007719670073170626,0.0019939675690009203,0.013295886145922474,0.045027044830846276
2026-04-22,348,0.03551653283787793,-0.08629796591109173,-0.03884471218866043,0.0024174447918617428,0.008951472563325171,0.038055320076943684
2026-04-23,348,0.016432437732725746,0.02681702047407272,-0.004974817114598234,0.002223183268731995,-0.0019919889007046086,0.03265908010090922
2026-04-24,348,0.12810638858145332,0.15197066728365627,0.00650591045031641,0.0032924358336694566,0.021661282611919075,0.04455017998940827
2026-04-27,348,0.0076888781987078545,-0.027786423440135925,-0.005811576202951786,0.002936978993888936,0.012379948006252896,0.04096186708168749
2026-04-28,348,-0.11278064412058718,-0.05201120175674777,0.006404167923058115,0.0030956544999449272,0.00030365482757189696,0.034196096957224975
2026-04-29,348,-0.01873615723542934,-0.08412916479072391,0.0006462587866419417,0.002148241853765424,0.008013977924552565,0.03396108681714888
2026-04-30,348,0.0384311917672728,0.04058615307795234,0.0034040408191001615,0.00475203945286377,-0.0189029723489476,0.03123633530622853
2026-05-04,348,0.15716321827963695,0.08875697156488038,0.0029426445010703045,0.002329067992233241,0.016700974901520636,0.046910788602895576
2026-05-06,348,0.00790179687504481,0.0757549125176242,0.01220222935660349,0.003959406473427935,-0.003181225077570716,0.04762018802836761
2026-05-07,348,-0.1420650789213913,-0.0799864065855417,0.005087130340609055,0.0024048692480973413,-0.00536991620504058,0.03874003557684152
2026-05-08,348,0.013859371662620443,0.012779041243217066,0.004842696738310041,0.0034518639267322737,0.002511621277563374,0.04142826541328817
2026-05-11,348,0.01872589590807373,0.12124485023108152,0.0009013418242583833,0.002105339958800118,-0.004236587268788827,0.04361319674175807
2026-05-12,348,-0.14388088319958967,-0.07424753624242328,0.0067984101120034815,0.003082431775078187,-0.022926853399489668,0.040320406761700976
2026-05-13,348,0.06793802713929488,0.04595716739258988,-0.003577968548708529,0.0022641436476646777,-0.0019557243497697902,0.04612334320696829
2026-05-14,348,-0.3484641326036807,-0.2748265773808365,0.001080542490716299,0.0038971080398998194,0.02575087291307423,0.04284819822156982
2026-05-15,348,-0.3201253535481029,-0.1715717519814479,0.006211711571990286,0.004397370794176553,-0.03914171699629147,0.04906754408024174
2026-05-18,348,0.09111670465564399,0.14605241247445133,0.0024784312978819744,0.0023254758846618915,-0.018670937840903363,0.0515925331008785
2026-05-19,348,0.029017924196426785,0.10628184930216131,-0.0008694901676701671,0.003152334366306657,-0.023020042009300357,0.03662850999154136
