evaluation_date,top10_threshold_score,top10_threshold_percentile
2026-01-30,0.0210590279007581,0.9741379310344828
2026-02-02,0.0139976231721516,0.9741379310344828
2026-02-03,-0.0003371986648428,0.9741379310344828
2026-02-04,0.0006056547723952,0.9741379310344828
2026-02-05,0.0121559924719857,0.9740634005763689
2026-02-06,0.0105277431767196,0.9741379310344828
2026-02-09,0.0167666566002566,0.9741379310344828
2026-02-10,0.0137987550291729,0.9741379310344828
2026-02-11,0.0014269304688966,0.9741379310344828
2026-02-12,0.0120689160859276,0.9741379310344828
2026-02-13,0.0055659551407821,0.9741379310344828
2026-02-19,0.0141195976104656,0.9741379310344828
2026-02-20,0.0047565086390738,0.9741379310344828
2026-02-23,-0.007375133962654,0.9741379310344828
2026-02-24,0.0098731596019751,0.9741379310344828
2026-02-25,0.0088343240689283,0.9741379310344828
2026-02-26,0.013925111178057,0.9741379310344828
2026-02-27,0.0125965518904508,0.9741379310344828
2026-03-03,0.0228410238163052,0.9741379310344828
2026-03-04,0.0132603212357727,0.9741379310344828
2026-03-05,0.0336121307653567,0.9741379310344828
2026-03-06,0.0167319964455271,0.9741379310344828
2026-03-09,0.0099476203014034,0.9741379310344828
2026-03-10,0.1429328821712472,0.9741379310344828
2026-03-11,0.0230520288672261,0.9741379310344828
2026-03-12,0.016053866203522,0.9741379310344828
2026-03-13,-0.010019797246136,0.9741379310344828
2026-03-16,0.0119060257355786,0.9741379310344828
2026-03-17,-0.0102899633717895,0.9741379310344828
2026-03-18,0.0258548535265667,0.9741379310344828
2026-03-19,0.0052854270018405,0.9741379310344828
2026-03-20,0.009587733599889,0.9741379310344828
2026-03-23,0.0200345623614112,0.9741379310344828
2026-03-24,0.0164146579608915,0.9741379310344828
2026-03-25,0.0099098274904044,0.9741379310344828
2026-03-26,-0.0121537527359066,0.9741379310344828
2026-03-27,0.0172957015458755,0.9741379310344828
2026-03-30,-0.0059352993871202,0.9741379310344828
2026-03-31,-0.0208661068880402,0.9741379310344828
2026-04-01,-0.0189013416785561,0.9741379310344828
2026-04-02,0.0209274242207687,0.9741379310344828
2026-04-03,0.0236840315240338,0.9741379310344828
2026-04-06,0.0776779279174029,0.9741379310344828
2026-04-07,0.0062884855661221,0.9741379310344828
2026-04-08,-0.0023085188199202,0.9741379310344828
2026-04-09,0.0083009797164611,0.9741379310344828
2026-04-10,-0.0032287196687602,0.9741379310344828
2026-04-13,-0.0018215638537193,0.9741379310344828
2026-04-14,0.0044240735389661,0.9741379310344828
2026-04-15,-0.0043968265057731,0.9741379310344828
2026-04-16,0.0104961541066855,0.9741379310344828
2026-04-17,0.0085604162493764,0.9741379310344828
2026-04-20,-0.0012280141664216,0.9741379310344828
2026-04-21,0.0125968813478335,0.9741379310344828
2026-04-22,-0.0354993494638611,0.9741379310344828
2026-04-23,-0.001922671676619,0.9741379310344828
2026-04-24,0.0157023655565833,0.9741379310344828
2026-04-27,-0.0028962400268958,0.9741379310344828
2026-04-28,0.014754906248938,0.9741379310344828
2026-04-29,0.0042174919888778,0.9741379310344828
2026-04-30,0.0162034030798349,0.9741379310344828
2026-05-04,0.0082872464978286,0.9741379310344828
2026-05-06,0.0221018158159397,0.9741379310344828
2026-05-07,0.0094644745508598,0.9741379310344828
2026-05-08,0.0098918893822694,0.9741379310344828
2026-05-11,0.0055707792573085,0.9741379310344828
2026-05-12,0.0136789952260425,0.9741379310344828
2026-05-13,0.0017455531260696,0.9741379310344828
2026-05-14,0.0104328764952239,0.9741379310344828
2026-05-15,0.0174913116566063,0.9741379310344828
2026-05-18,0.0073261769052871,0.9741379310344828
2026-05-19,0.0044262688509826,0.9741379310344828
2026-05-20,0.008839440677849,0.9741379310344828
2026-05-21,0.0062694854590016,0.9741379310344828
2026-05-22,0.0171516040322176,0.9741379310344828
2026-05-26,0.0041359738232794,0.9741379310344828
2026-05-27,0.0078122943712003,0.9741379310344828
2026-05-28,-0.0081278606732675,0.9741379310344828
2026-05-29,0.0167412849116879,0.9741379310344828
2026-06-01,0.0120812189580083,0.9741379310344828
2026-06-02,0.012143576864469,0.9741379310344828
2026-06-04,0.0047043722921474,0.9741379310344828
2026-06-05,0.0016955974513228,0.9741379310344828
2026-06-08,-0.0135835209469173,0.9741379310344828
2026-06-09,0.0617432561964891,0.9741379310344828
2026-06-10,0.0130145598212775,0.9741379310344828
2026-06-11,-0.0029063512176631,0.9741379310344828
2026-06-12,0.0140599794798972,0.9741379310344828
2026-06-16,0.00643633857089,0.9741379310344828
2026-06-17,0.0169790845212303,0.9741379310344828
