feature,gap_model_importance,intraday_model_importance,ranking_model_importance,mean_importance
sox_return_1d,802.0,641.0,779.0,740.6666666666666
usdkrw_return_1d,747.0,622.0,748.0,705.6666666666666
wti_return_1d,749.0,523.0,629.0,633.6666666666666
nasdaq_return_1d,634.0,599.0,548.0,593.6666666666666
vix_change_1d,633.0,559.0,552.0,581.3333333333334
sp500_return_1d,555.0,443.0,536.0,511.3333333333333
atr_percent,177.0,129.0,162.0,156.0
atr_rank_pct,79.0,132.0,105.0,105.33333333333333
intraday_range_5d,72.0,128.0,107.0,102.33333333333333
volatility_20d,75.0,106.0,92.0,91.0
trading_value,126.0,70.0,69.0,88.33333333333333
return_1d,101.0,80.0,81.0,87.33333333333333
return_3d,75.0,106.0,66.0,82.33333333333333
return_60d,55.0,107.0,57.0,73.0
close_ma60_ratio,62.0,96.0,55.0,71.0
lower_shadow,53.0,80.0,71.0,68.0
momentum_accel,72.0,80.0,45.0,65.66666666666667
volatility_rank_pct,58.0,59.0,68.0,61.666666666666664
macd_hist_ratio,84.0,55.0,45.0,61.333333333333336
upper_shadow,34.0,63.0,82.0,59.666666666666664
close_ma5_ratio,34.0,70.0,70.0,58.0
body,36.0,63.0,74.0,57.666666666666664
close_to_20d_high,51.0,65.0,45.0,53.666666666666664
volatility_5d,69.0,30.0,56.0,51.666666666666664
return_5d,41.0,52.0,54.0,49.0
high_20d,65.0,31.0,47.0,47.666666666666664
close_ma20_ratio,38.0,48.0,39.0,41.666666666666664
low_20d,42.0,38.0,38.0,39.333333333333336
momentum_diff,24.0,48.0,45.0,39.0
rsi_change_5d,18.0,50.0,43.0,37.0
bb_width_rank_pct,22.0,40.0,40.0,34.0
return_20d,20.0,47.0,32.0,33.0
bb_width,19.0,43.0,37.0,33.0
rsi14,15.0,51.0,26.0,30.666666666666668
relative_trading_value,19.0,42.0,29.0,30.0
close_position,20.0,42.0,25.0,29.0
macd_rank_pct,23.0,36.0,27.0,28.666666666666668
bb_position_change_5d,18.0,36.0,32.0,28.666666666666668
return_20d_rank_pct,4.0,39.0,36.0,26.333333333333332
volume_change_rank_pct,9.0,46.0,23.0,26.0
close_to_20d_low,13.0,44.0,19.0,25.333333333333332
momentum_diff_rank_pct,9.0,45.0,19.0,24.333333333333332
breakout_rank_pct,21.0,30.0,20.0,23.666666666666668
bb_position_rank_pct,16.0,30.0,24.0,23.333333333333332
body_ratio,13.0,30.0,21.0,21.333333333333332
trading_value_rank_pct,23.0,23.0,17.0,21.0
volume_change_1d,14.0,32.0,16.0,20.666666666666668
breakout_strength,7.0,35.0,19.0,20.333333333333332
rsi_rank_pct,7.0,23.0,29.0,19.666666666666668
bb_position,15.0,17.0,23.0,18.333333333333332
relative_return_20d_vs_market,7.0,24.0,19.0,16.666666666666668
relative_return_5d_vs_market,8.0,26.0,14.0,16.0
low_rebound_rank_pct,8.0,16.0,21.0,15.0
return_5d_rank_pct,5.0,23.0,16.0,14.666666666666666
relative_return_20d_vs_sector,4.0,7.0,8.0,6.333333333333333
