evaluation_date,daily_return,kospi_benchmark_return,universe_equal_weight_return,top10_count,prediction_count,train_start_date,train_end_date,train_rows,unique_train_dates,cumulative_return,kospi_benchmark_cumulative_return,universe_cumulative_return
2026-01-30,0.04011888066259395,-0.007309203570321245,-0.0012007018179946653,10,348,2024-01-09,2026-01-28,171918,500,0.04011888066259406,-0.0073092035703212765,-0.0012007018179946982
2026-02-02,-0.022596332159499057,-0.035295519994258694,-0.04426907132325028,10,348,2024-01-10,2026-01-29,171929,500,0.016616008949775773,-0.042346741423821666,-0.04541661918682627
2026-02-03,0.0743307548457572,0.04526903631100547,0.04614948421967705,10,348,2024-01-11,2026-01-30,171940,500,0.09218184428329379,0.001005298712016156,-0.0013630885176227903
2026-02-04,0.011645080668178731,0.026778089304493585,0.016843611075778444,10,348,2024-01-12,2026-02-02,171951,500,0.10490038996429285,0.02781030799519768,0.015457563225302895
2026-02-05,-0.06161985095584528,-0.01753620393876705,-0.026359860497306018,10,347,2024-01-15,2026-02-03,171962,500,0.03681659261363768,0.00978641682382686,-0.01130975648225041
2026-02-06,-0.028061386116171493,-0.016426670797092528,-0.017171337267982735,10,348,2024-01-16,2026-02-04,171972,500,0.00772208187665302,-0.00680101222071372,-0.0282868901072576
2026-02-09,0.03159349116108978,0.03601138164516425,0.04663754836747476,10,348,2024-01-17,2026-02-05,171983,500,0.039559540563258055,0.02896545557779695,0.01703142705467453
2026-02-10,0.0016781051552822834,0.014380869177629239,0.0012639193550308045,10,348,2024-01-18,2026-02-06,171994,500,0.04130403078750011,0.04376287318276084,0.0183168727600036
2026-02-11,0.0013519091171676823,0.010027815590840766,0.004415296490814093,10,348,2024-01-19,2026-02-09,172005,500,0.042711779200465205,0.054229534795603884,0.02281304367483772
2026-02-12,-0.003521197804469467,0.018458781703363233,0.01299536491233476,10,348,2024-01-22,2026-02-10,172016,500,0.039040184772850095,0.07368932764363412,0.0361048724144879
2026-02-13,0.011207499890630523,-0.007810650908782255,-0.012145672382566516,10,348,2024-01-23,2026-02-11,172027,500,0.050685227530052446,0.06530311512092446,0.023520682080160782
