evaluation_date,train_start_date,train_end_date,rolling_train_days,prediction_rows,ranking_rmse,ranking_ic,gap_rmse,gap_direction_accuracy,intraday_rmse,intraday_direction_accuracy,top10_average_predicted_return,top10_average_actual_return,top10_hit_rate,portfolio_daily_return,portfolio_cumulative_return,benchmark_return,benchmark_cumulative_return,best_stock,best_stock_return,worst_stock,worst_stock_return,feature_count,train_rows
2026-01-30,2025-06-20,2026-01-28,150,348,0.05040755582972536,0.039493943803567896,0.019371016307480324,0.4109195402298851,0.04521167076594428,0.4224137931034483,0.03208525685763951,0.03861630934468237,0.1,0.0386163093446823,0.0386163093446823,-0.0073092035703212,-0.0073092035703212,038500 삼표시멘트,0.2727272727272727,036810 에프에스티,-0.0339157245632065,55,52139
2026-02-02,2025-06-23,2026-01-29,150,348,0.0631777305629862,-0.20731258505692074,0.03255724829654864,0.25287356321839083,0.04585974162339119,0.3333333333333333,0.02034175488956736,-0.06801173443127231,0.0,-0.0680117344312723,-0.0320217872624565,-0.0352955199942586,-0.0423467414238216,218410 RFHIC,0.0052246603970742,069080 웹젠,-0.1340265742345465,55,52140
2026-02-03,2025-06-24,2026-01-30,150,348,0.06500805007135779,-0.02027186038442936,0.03350394440598163,0.867816091954023,0.04352163232367763,0.5545977011494253,0.014669057063359381,0.06982807675445364,0.1,0.0698280767544536,0.0355702696732196,0.0452690363110054,0.0010052987120161,038500 삼표시멘트,0.2994505494505495,125490 한라캐스트,0.006726457399103,55,52141
2026-02-04,2025-06-25,2026-02-02,150,348,0.055218894243162946,-0.05360014789410308,0.027538205099176562,0.42528735632183906,0.049010291080212445,0.34195402298850575,0.00888231294333379,0.023120290062945158,0.2,0.0231202900629451,0.0595129546886268,0.0267780893044935,0.0278103079951976,100790 미래에셋벤처투자,0.1312217194570135,048410 현대바이오,-0.1016187050359712,55,52143
2026-02-05,2025-06-26,2026-02-03,150,347,0.05630589047642682,-0.15024861140048956,0.033191767716643235,0.1786743515850144,0.03898662412734434,0.3112391930835735,0.033668079578345576,-0.05488920975024712,0.1,-0.0548892097502471,0.0013571258856186,-0.017536203938767,0.0097864168238268,018880 한온시스템,0.0818791946308725,003380 하림지주,-0.157062723100459,55,52144
2026-02-06,2025-06-27,2026-02-04,150,348,0.04994043505453313,-0.09825475569724453,0.04617181329495279,0.07758620689655173,0.044848762723466815,0.4051724137931034,0.00093607868842928,0.008716015580610506,0.3,0.0087160155806105,0.010084970196593,-0.0164266707970925,-0.0068010122207137,009830 한화솔루션,0.1538416729772238,033100 제룡전기,-0.0871632329635498,55,52145
2026-02-09,2025-06-30,2026-02-05,150,348,0.06229691892986623,-0.11187509053826578,0.028313537668696247,0.9626436781609196,0.04649359289943419,0.3103448275862069,0.01045666708991243,0.0676171557430091,0.1,0.0676171557430091,0.0783840429400488,0.0360113816451642,0.0289654555777969,056080 유진로봇,0.1882911392405062,032820 우리기술,0.0031612223393044,55,52146
2026-02-10,2025-07-01,2026-02-06,150,348,0.048495946078851986,-0.07755344708904621,0.02066542585342557,0.6867816091954023,0.04227683016768267,0.367816091954023,0.030357868280340365,0.0008673551616695425,0.1,0.0008673551616695,0.079319384905955,0.0143808691776292,0.0437628731827608,018880 한온시스템,0.1793548387096775,171090 선익시스템,-0.046,55,52147
2026-02-11,2025-07-02,2026-02-09,150,348,0.039264118246420426,0.16390715610172035,0.015940180470700102,0.6954022988505747,0.0323526470877001,0.5344827586206896,0.01486935143232947,0.040993531478282226,0.2,0.0409935314782822,0.1235644980862176,0.0100278155908407,0.0542295347956038,032820 우리기술,0.3,043260 성호전자,-0.0785046728971963,55,52148
2026-02-12,2025-07-03,2026-02-10,150,348,0.037778838794096437,-0.035649048918078546,0.014254154300751198,0.7298850574712644,0.0353704396807054,0.47988505747126436,0.0253491305533265,-0.00519205371181699,0.1,-0.005192053711817,0.1177308908634633,0.0184587817033632,0.0736893276436341,032820 우리기술,0.1028340080971659,038500 삼표시멘트,-0.0718085106382978,55,52149
2026-02-13,2025-07-04,2026-02-11,150,348,0.031346496670524325,0.17143255783799352,0.018818168746391962,0.4166666666666667,0.024944710532803185,0.5948275862068966,0.018709251079587607,-0.004849810303354742,0.1,-0.0048498103033547,0.1123101080725759,-0.0078106509087822,0.0653031151209244,088350 한화생명,0.0745272525027809,032820 우리기술,-0.0939794419970631,55,52150
2026-02-19,2025-07-07,2026-02-12,150,348,0.05139056314942173,0.24931907401784362,0.019786055300089273,0.8908045977011494,0.04371629815706387,0.5775862068965517,0.029254620576411407,0.08919876713294743,0.2,0.0891987671329474,0.2115267983821653,0.0233834254280315,0.0902135510716044,000250 삼천당제약,0.1943925233644861,038500 삼표시멘트,-0.0296347346657477,55,52151
2026-02-20,2025-07-08,2026-02-13,150,348,0.039514250409931,0.13482965305439876,0.02070888480459313,0.4454022988505747,0.035409005047323375,0.47988505747126436,0.0019665120689413102,0.0008255242740344192,0.1,0.0008255242740343,0.2125269431628731,0.017066386981724,0.1088195574269119,032820 우리기술,0.1467181467181466,018880 한온시스템,-0.0616698292220113,55,52152
2026-02-23,2025-07-09,2026-02-19,150,348,0.045198029887706825,0.14785254552278213,0.02629731353045271,0.2413793103448276,0.042849560267542115,0.6609195402298851,-0.0016167511539815602,0.014487237735672218,0.1,0.0144872377356722,0.2300931092493816,0.0051291237449554,0.1145068301477811,048410 현대바이오,0.2999268471104608,088350 한화생명,-0.0954545454545454,55,52153
2026-02-24,2025-07-10,2026-02-20,150,348,0.037903935493928426,-0.16625401895444933,0.015494973341174124,0.4109195402298851,0.03517855720840473,0.4281609195402299,0.02122938310494943,0.01315550592188319,0.1,0.0131555059218831,0.2462756064325797,0.0046579671190815,0.1196981663166014,048410 현대바이오,0.1254924029262802,214370 케어젠,-0.0632737276478679,55,52154
2026-02-25,2025-07-11,2026-02-23,150,348,0.038238123464313545,0.05847445513630049,0.01785038527681659,0.7528735632183908,0.03674988189470675,0.46839080459770116,0.01602559486180091,0.01390857563921406,0.0,0.013908575639214,0.2636095249719548,0.0138793604851431,0.1352388608014634,006800 미래에셋증권,0.0864391558149977,222080 씨아이에스,-0.045152722443559,55,52155
2026-02-26,2025-07-14,2026-02-24,150,348,0.04620853409177531,-0.015595917598325012,0.02023414876814573,0.6206896551724138,0.03878646706370086,0.40229885057471265,0.01905339764098447,0.01592233416590443,0.1,0.0159223341659044,0.2837291380837781,0.0024185710775246,0.1379845166762798,047040 대우건설,0.1485714285714285,319400 현대무벡스,-0.040787623066104,55,52156
2026-02-27,2025-07-15,2026-02-25,150,348,0.039256736553035215,0.1389192518310143,0.02494396478359497,0.33620689655172414,0.03920150432006553,0.49712643678160917,0.025897700954905057,0.0029672509375536006,0.1,0.0029672509375536,0.287538284572322,-0.0071941447590534,0.1297976913297491,000250 삼천당제약,0.0898282694848084,036540 SFA반도체,-0.052757793764988,55,52157
