date,ticker,open,high,low,close,volume,trading_value
2026-06-16,000080,16010,16090,15940,16010,104254,1669106540
2026-06-16,000100,79000,79700,78100,78300,224649,17590016700
2026-06-16,000120,85700,88200,85300,87300,59145,5163358500
2026-06-16,000150,1770000,1814000,1684000,1699000,77677,131973223000
2026-06-16,000210,54700,57800,53500,54800,113655,6228294000
2026-06-16,000240,30350,30600,27950,28000,514259,14399252000
2026-06-16,000250,266500,279000,260500,265000,110734,29344510000
2026-06-16,000270,171700,171900,166200,170200,1130432,192399526400
2026-06-16,000660,2381000,2400000,2286000,2382000,3644469,8681125158000
2026-06-16,000670,49000,49500,48000,48800,27226,1328628800
2026-06-16,000720,146000,155500,140600,147800,1894314,279979609200
2026-06-16,000810,670000,698000,662000,671000,152534,102350314000
2026-06-16,000880,123800,130200,123500,125300,200753,25154350900
2026-06-16,000990,164800,167600,157600,158000,517479,81761682000
2026-06-16,001040,175600,188500,175600,186800,230627,43081123600
2026-06-16,001430,47850,50400,46050,49500,635665,31465417500
2026-06-16,001440,41100,42275,38800,40700,3735057,152016819900
2026-06-16,001450,40300,42200,40200,41250,437935,18064818750
2026-06-16,001680,18540,18870,18530,18720,66378,1242596160
2026-06-16,001800,27050,28500,26100,27300,394056,10757728800
2026-06-16,002030,198000,210000,196800,202000,5138,1037876000
2026-06-16,002380,565000,573000,553000,560000,29945,16769200000
2026-06-16,002790,24700,25450,24450,24700,128352,3170294400
2026-06-16,002840,122300,126800,122300,125500,5112,641556000
2026-06-16,003030,140200,154200,136100,148800,75170,11185296000
2026-06-16,003090,18480,18740,18350,18560,48150,893664000
2026-06-16,003230,1147000,1189000,1130000,1143000,37402,42750486000
2026-06-16,003240,936000,953000,932000,936000,911,852696000
2026-06-16,003380,10890,11240,10780,11110,430973,4788110030
2026-06-16,003490,29500,29700,28500,29300,2990653,87626132900
2026-06-16,003550,118000,118200,112800,114100,1368152,156106143200
2026-06-16,003670,210500,212000,205500,209000,157425,32901825000
2026-06-16,004000,50200,51000,49700,50600,64127,3244826200
2026-06-16,004020,36750,36750,35500,35850,728647,26121994950
2026-06-16,004170,704000,778000,700000,767000,115979,88955893000
2026-06-16,004370,377500,380000,371500,372000,27446,10209912000
2026-06-16,004990,27250,27650,26300,26850,1102498,29602071300
2026-06-16,005290,60900,62100,59500,60300,708558,42726047400
2026-06-16,005300,107100,108200,106300,107400,26977,2897329800
2026-06-16,005380,648000,654000,627000,640000,1286352,823265280000
2026-06-16,005420,13450,13560,13190,13250,110801,1468113250
2026-06-16,005490,396500,396500,386500,390000,319132,124461480000
2026-06-16,005830,151700,155700,149800,153400,234469,35967544600
2026-06-16,005850,77200,77950,73600,76200,220695,16816959000
2026-06-16,005930,343000,345500,332500,343000,17548685,6019198955000
2026-06-16,005940,32700,33600,32550,32850,994947,32684008950
2026-06-16,006040,34900,34900,34100,34350,58188,1998757800
2026-06-16,006260,436500,438000,413000,424000,170519,72300056000
2026-06-16,006280,129100,132700,128500,130000,28556,3712280000
2026-06-16,006400,564000,565000,546000,549000,352915,193750335000
2026-06-16,006650,140200,142500,137000,138800,30348,4212302400
2026-06-16,006730,11230,11590,11040,11420,466986,5332980120
2026-06-16,006800,52800,55400,50900,51300,3828119,196382504700
2026-06-16,007070,25100,26150,24900,25600,224813,5755212800
2026-06-16,007310,333500,336000,330500,333500,3985,1328997500
2026-06-16,007340,43600,46650,43150,44650,166071,7415070150
2026-06-16,007390,30300,32250,30200,30550,523583,15995460650
2026-06-16,007660,122200,127000,120000,123000,1176420,144699660000
2026-06-16,008730,18980,19250,18500,18820,73824,1389367680
2026-06-16,008770,56000,60000,55000,59800,474665,28384967000
2026-06-16,008930,30400,31300,30400,30900,57185,1767016500
2026-06-16,009150,2042000,2071000,1970000,2048000,1084769,2221606912000
2026-06-16,009240,35000,35650,34650,34950,48591,1698255450
2026-06-16,009420,51500,54100,49950,52100,312697,16291513700
2026-06-16,009520,15470,15580,15130,15190,110449,1677720310
2026-06-16,009540,434500,451500,423500,438500,558119,244735181500
2026-06-16,009830,39250,43850,37650,42200,3425970,144575934000
2026-06-16,009970,188900,193600,187000,188300,9130,1719179000
2026-06-16,010060,287500,335500,276000,318000,531256,168939408000
2026-06-16,010120,269000,269500,254000,257500,891958,229679185000
2026-06-16,010130,1299000,1323000,1262000,1293000,17990,23261070000
2026-06-16,010140,28750,29400,28100,28100,4700796,132092367600
2026-06-16,010950,113600,115800,111300,114100,284836,32499787600
2026-06-16,011070,1290000,1301000,1210000,1236000,516339,638195004000
2026-06-16,011170,81200,81200,78500,80800,166654,13465643200
2026-06-16,011200,21050,22200,20600,22150,2870572,63583169800
2026-06-16,011210,83000,88100,81400,86100,244747,21072716700
2026-06-16,011780,133500,134000,128300,131900,76250,10057375000
2026-06-16,011790,151700,151700,142600,144600,612721,88599456600
2026-06-16,012330,654000,686000,635000,660000,501325,330874500000
2026-06-16,012450,1147000,1212000,1125000,1183000,369748,437411884000
2026-06-16,012750,78200,85200,77600,81600,119828,9777964800
2026-06-16,014620,32850,34800,32400,32750,181925,5958043750
2026-06-16,014680,308000,310000,298000,299000,58768,17571632000
2026-06-16,014820,21800,22250,21550,21700,22626,490984200
2026-06-16,015750,7750,7750,7210,7330,882265,6467002450
2026-06-16,015760,41500,41700,39800,39800,2740085,109055383000
2026-06-16,016360,122500,126700,121000,124600,799001,99555524600
2026-06-16,017670,105000,105100,100100,100100,1630561,163219156100
2026-06-16,017800,83700,85000,81500,82600,671898,55498774800
2026-06-16,017960,33350,35850,33350,35650,605817,21597376050
2026-06-16,018260,244500,244500,235000,238000,287341,68387158000
2026-06-16,018290,12840,13150,12550,12650,114048,1442707200
2026-06-16,018880,5710,5720,5140,5190,31410636,163021200840
2026-06-16,021240,91700,93400,90200,91200,235715,21497208000
2026-06-16,022100,29050,29100,28000,28100,297857,8369781700
2026-06-16,023530,184300,198200,181000,198000,281659,55768482000
2026-06-16,024110,22300,23500,22300,23100,3830645,88487899500
2026-06-16,025320,4680,4735,4460,4475,395041,1767808475
2026-06-16,025900,8220,8310,8050,8080,50510,408120800
2026-06-16,025980,5000,5250,4885,5130,1216967,6243040710
2026-06-16,026960,25650,26350,25400,25800,113635,2931783000
2026-06-16,028050,52500,58800,51600,56700,6517048,369516621600
2026-06-16,028260,499000,506000,482000,497000,480592,238854224000
2026-06-16,028300,44800,55900,42250,48350,2962022,143213763700
2026-06-16,028670,5340,5510,5270,5340,3136496,16748888640
2026-06-16,029780,50600,55000,50500,53300,791474,42185564200
2026-06-16,030000,20750,21500,20400,21100,2044184,43132282400
2026-06-16,030200,55500,57600,55500,56600,546517,30932862200
2026-06-16,030520,20300,20700,19810,19900,110888,2206671200
2026-06-16,030530,29100,29300,27100,27150,754272,20478484800
2026-06-16,031980,135600,136100,118600,123200,290743,35819537600
2026-06-16,032190,19930,20450,19850,20150,84531,1703299650
2026-06-16,032500,28150,28850,26450,26700,276889,7392936300
2026-06-16,032640,15800,16700,15640,16260,2683730,43637449800
2026-06-16,032820,15400,16490,15080,15560,10543327,164054168120
2026-06-16,032830,427000,433000,421500,431000,251317,108317627000
2026-06-16,033100,57400,57400,54400,55500,193655,10747852500
2026-06-16,033500,20100,20600,19690,20250,136597,2766089250
2026-06-16,033780,188000,192400,183700,185000,458876,84892060000
2026-06-16,034020,105100,105500,101800,103300,3301721,341067779300
2026-06-16,034220,14460,14460,13880,13930,4488840,62529541200
2026-06-16,034230,15060,15570,15010,15460,591602,9146166920
2026-06-16,034730,665000,691000,663000,673000,166152,111820296000
2026-06-16,035250,16010,16470,15830,16170,2408892,38951783640
2026-06-16,035420,255000,265500,239500,242000,2480043,600170406000
2026-06-16,035720,41100,41400,40450,40450,1427296,57734123200
2026-06-16,035760,38400,38550,37600,37800,61987,2343108600
2026-06-16,035900,55400,56300,55300,55700,107704,5999112800
2026-06-16,036460,37150,37300,35900,36350,320070,11634544500
2026-06-16,036540,7400,7480,7150,7200,1821718,13116369600
2026-06-16,036570,264500,268500,259000,261000,108095,28212795000
2026-06-16,036620,4990,5030,4845,4870,391257,1905421590
2026-06-16,036810,33400,33650,31550,31750,133394,4235259500
2026-06-16,036830,47200,47200,44250,44750,88779,3972860250
2026-06-16,036930,227500,240000,218000,226500,2235474,506334861000
2026-06-16,038500,11360,11720,11050,11570,1010305,11689228850
2026-06-16,039030,535000,540000,489500,495000,126263,62500185000
2026-06-16,039200,39100,39850,38300,38850,177997,6915183450
2026-06-16,039490,373500,398000,373000,390000,380365,148342350000
2026-06-16,041190,5730,5890,5710,5810,543889,3159995090
2026-06-16,041510,81600,83150,81200,82800,61659,5105365200
2026-06-16,042000,19790,19950,19250,19670,82898,1630603660
2026-06-16,042660,123900,130700,121700,129200,2044579,264159606800
2026-06-16,042700,358500,363000,326000,328500,1083778,356021073000
2026-06-16,043260,43500,43900,39650,40600,2813261,114218396600
2026-06-16,047040,23150,28750,22300,27450,48167340,1322193483000
2026-06-16,047050,60000,66500,58800,65300,1863824,121707707200
2026-06-16,047810,150600,160900,150600,154900,597024,92479017600
2026-06-16,048410,9570,10190,9270,9570,1362761,13041622770
2026-06-16,050890,13000,13580,12710,12810,1259990,16140471900
2026-06-16,051600,54800,55400,52100,52300,216867,11342144100
2026-06-16,051900,246500,249000,244000,246500,35112,8655108000
2026-06-16,051910,364500,372500,356000,367500,228006,83792205000
2026-06-16,052400,49350,49850,47400,47400,69102,3275434800
2026-06-16,052690,138200,138400,133000,134600,190986,25706715600
2026-06-16,053800,58800,59400,58400,58800,20582,1210221600
2026-06-16,055550,105600,110700,105500,106700,1236763,131962612100
2026-06-16,056080,19900,20050,19100,19180,207628,3982305040
2026-06-16,056190,27950,28150,27050,27700,98158,2718976600
