종목코드,종목명,종가,대비,등락률,상장시가총액
"082740","한화엔진","59300","5400","10.02","4948416.0"
"088350","한화생명","5250","280","5.63","4559783.0"
"002380","KCC","558000","54000","10.71","4794836.0"
"004020","현대제철","36650","1700","4.86","4890788.0"
"022100","포스코DX","28650","700","2.50","4355795.0"
"051900","LG생활건강","246500","4500","1.86","3691466.0"
"450080","에코프로머티","58500","2500","4.46","4136278.0"
"111770","영원무역","82400","-500","-0.60","3651265.0"
"069960","현대백화점","183200","5900","3.33","3950692.0"
"383220","F&F","81700","-4200","-4.89","3129688.0"
"375500","DL이앤씨","79000","5100","6.90","3056796.0"
"302440","SK바이오사이언스","40100","900","2.30","3146108.0"
"204320","HL만도","70600","5600","8.62","3315173.0"
"251270","넷마블","41150","-1300","-3.06","3371608.0"
"017800","현대엘리베이터","83500","3600","4.51","3264214.0"
"014680","한솔케미칼","303500","21000","7.43","3450854.0"
"012750","에스원","77500","-11200","-12.63","2944936.0"
"011780","금호석유화학","134700","11500","9.33","3388692.0"
"011170","롯데케미칼","80900","4400","5.75","3460531.0"
"005850","에스엘","75900","8200","12.11","3525443.0"
"001450","현대해상","40700","1450","3.69","3469604.0"
"097950","CJ제일제당","202000","3300","1.66","3040946.0"
"036460","한국가스공사","37000","800","2.21","3415581.0"
"035250","강원랜드","16000","300","1.91","3423048.0"
"093370","후성","22400","3390","17.83","2402519.0"
"483650","달바글로벌","196900","3200","1.65","2455179.0"
"009420","한올바이오파마","51300","-200","-0.39","2679945.0"
"026960","동서","25450","-50","-0.20","2537365.0"
"028670","팬오션","5340","150","2.89","2854601.0"
"030000","제일기획","20750","300","1.47","2387105.0"
"051600","한전KPS","54000","-9900","-15.49","2430000.0"
"457190","이수스페셜티케미컬","85300","2000","2.40","2577670.0"
"071970","HD현대마린엔진","71000","5000","7.58","2408426.0"
"081660","미스토홀딩스","43750","1000","2.34","2322768.0"
"007340","DN오토모티브","43850","3550","8.81","2565701.0"
"004990","롯데지주","27300","750","2.82","2720821.0"
"004370","농심","377500","0","0.00","2296197.0"
"009970","영원무역홀딩스","190400","3900","2.09","2466407.0"
"000240","한국앤컴퍼니","30650","3350","12.27","2909765.0"
"139480","이마트","90200","1600","1.81","2489143.0"
"139130","iM금융지주","18110","410","2.32","2908911.0"
"008930","한미사이언스","30350","250","0.83","2075684.0"
"103140","풍산","75500","1600","2.17","2115833.0"
"001800","오리온홀딩스","26700","800","3.09","1672633.0"
"282330","BGF리테일","129900","600","0.46","2245179.0"
"001430","세아베스틸지주","46550","-1250","-2.62","1669382.0"
"007070","GS리테일","24850","300","1.22","2077644.0"
"000120","CJ대한통운","85300","2600","3.14","1945893.0"
"192820","코스맥스","168700","100","0.06","1914662.0"
"161890","한국콜마","87000","600","0.69","2053642.0"
"011210","현대위아","82000","5100","6.63","2229997.0"
"008770","호텔신라","55500","0","0.00","2178271.0"
"120110","코오롱인더","72300","-1500","-2.03","2165098.0"
"112610","씨에스윈드","43750","2250","5.42","1844999.0"
"017960","한국카본","32800","1050","3.31","1694989.0"
"002790","아모레퍼시픽홀딩스","24650","0","0.00","1884694.0"
"000080","하이트진로","16020","-320","-1.96","1123540.0"
"000210","DL","55200","1200","2.22","1156765.0"
"003090","대웅","18470","380","2.10","1073882.0"
"003240","태광산업","935000","-11000","-1.16","1041029.0"
"004000","롯데정밀화학","49550","1400","2.91","1278390.0"
"005300","롯데칠성","107900","2300","2.18","1001192.0"
"006040","동원산업","34400","650","1.93","1518444.0"
"006280","녹십자","129800","3400","2.69","1516913.0"
"007310","오뚜기","335500","6000","1.82","1344627.0"
"034230","파라다이스","14970","-30","-0.20","1386662.0"
"069620","대웅제약","120200","100","0.08","1392706.0"
"073240","금호타이어","5070","280","5.85","1456410.0"
"185750","종근당","71700","900","1.27","989659.0"
"192080","더블유게임즈","69900","-1100","-1.55","1480025.0"
"280360","롯데웰푸드","110200","1900","1.75","1014344.0"
"298020","효성티앤씨","360500","24000","7.13","1560129.0"
"300720","한일시멘트","14700","200","1.38","1081115.0"
"361610","SK아이이테크놀로지","19180","570","3.06","1568677.0"
"000670","영풍","48850","1650","3.50","899362.0"
"456040","OCI","97600","-7700","-7.31","873764.0"
"002030","아세아","200000","2100","1.06","411770.0"
"002840","미원상사","122300","1800","1.49","580925.0"
"003030","세아제강지주","138600","900","0.65","574034.0"
"005420","코스모화학","13450","480","3.70","516591.0"
"006650","대한유화","141500","16800","13.47","919750.0"
"008730","율촌화학","18830","540","2.95","466984.0"
"009240","한샘","34950","1750","5.27","822511.0"
"014820","동원시스템즈","22000","50","0.23","637808.0"
"069260","TKG휴켐스","16700","1010","6.44","682672.0"
"071320","지역난방공사","73600","2100","2.94","852196.0"
"137310","에스디바이오센서","7140","-10","-0.14","862149.0"
"268280","미원에스씨","104900","5200","5.22","524500.0"
"285130","SK케미칼","45850","1800","4.09","793148.0"
"298050","HS효성첨단소재","206000","8100","4.09","922869.0"
"001680","대상","18550","-10","-0.05","642721.0"
