ticker,ticker_name
377300,카카오페이
383220,F&F
388720,유일로보틱스
399720,가온칩스
402340,SK스퀘어
403870,HPSP
417200,LS머트리얼즈
420770,기가비스
437730,삼현
443060,HD현대마린솔루션
445680,큐리옥스바이오시스템즈
450080,에코프로머티
454910,두산로보틱스
456040,OCI
457190,이수스페셜티케미컬
466100,클로봇
475830,오름테라퓨틱
483650,달바글로벌
