,trading_value,return_1d,return_3d,return_5d,return_20d,return_60d,close_ma5_ratio,close_ma20_ratio,close_ma60_ratio,momentum_5d,momentum_20d,momentum_diff,momentum_accel,relative_return_5d_vs_market,relative_return_20d_vs_market,relative_return_20d_vs_sector,momentum_rank_pct,volume_change_1d,relative_trading_value,trading_value_rank_pct,volatility_5d,volatility_20d,intraday_range_5d,atr_percent,volatility_rank_pct,body,upper_shadow,lower_shadow,body_ratio,close_position,high_20d,low_20d,close_to_20d_high,close_to_20d_low,breakout_strength,breakout_rank_pct,rsi14,rsi_change_5d,macd_hist_ratio,bb_position,bb_width,bb_position_change_5d,rsi_rank_pct,macd_rank_pct,bb_position_rank_pct,atr_rank_pct,return_5d_rank_pct,return_20d_rank_pct,momentum_20d_rank_pct,momentum_diff_rank_pct,volume_change_rank_pct,bb_width_rank_pct,low_rebound_rank_pct,relative_return_5d_rank_pct,sector_relative_rank_pct,nasdaq_return_1d,sox_return_1d,sp500_return_1d,vix_change_1d,usdkrw_return_1d,wti_return_1d
trading_value,1.0,0.05059224381574805,0.08618266658288534,0.10676771126456958,0.18026001572166717,0.20948641559392378,0.08468063062551079,0.15656007553094597,0.21127467287261806,0.10676771126456958,0.18026001572166717,-0.14879312560002245,0.007365001998877416,0.11286126615440678,0.17478205860146326,0.17478205860146326,0.11155665385998886,0.005678431710825185,0.07019473569689369,0.08916363375839215,0.11224286909782429,0.10378245821751138,0.07891842903834119,0.06517745649401377,0.06633834750227073,0.04240600584322897,0.03761376148802271,0.037438439658032174,0.023038841303970214,0.03054510421772226,0.21605902122824683,0.17052704288139348,0.03723597853717711,0.18756011843196152,0.10178204909772406,0.11032490626238799,0.1343060252636891,0.012115740302913713,0.06131207772276419,0.09866484377587406,0.14506919071168348,0.009811318292678102,0.12300800228727127,0.05934692964842069,0.0986894888460554,0.00815741164700042,0.07551419292568383,0.11155665385998886,0.11155665385998886,-0.09332295579147908,0.018092761698158284,0.08280962290431583,0.10829301851725315,0.07551419292568383,0.11155665385998886,0.0011502942130700003,0.012368566472466236,0.0008227282965375916,0.006363865346058038,0.007776827491109302,0.007107002327574964
return_1d,0.05059224381574805,1.0,0.5644052065718849,0.43709448435917697,0.2315232991554714,0.14005006555223623,0.7309496382639517,0.3900023677239664,0.23853765190623255,0.43709448435917697,0.2315232991554714,-0.020664022194870145,0.7057011427473433,0.39536966162635967,0.2056961894165495,0.2056961894165495,0.18152632111802436,0.25013887673537444,0.3566293408678046,0.1968692649336892,0.10841945709428531,0.04850183985618997,0.05133628978685895,-0.05895446996734889,0.04070804447684623,0.8551966662096554,0.1352634806205573,0.03535006813926192,5.461352641071779e-05,0.5864265429076385,0.004654194126632187,0.0016095166280982905,0.3025302574202841,0.27591471682323004,0.3639723343798535,0.3184583007518025,0.32304970395221166,0.41316296952641207,0.177042009507813,0.41847716709939103,0.039015831061432145,0.4091301394159536,0.27397951542903165,0.15293158307769625,0.3321168249344027,-0.02290496083522459,0.3416136642260749,0.18152632111802436,0.18152632111802436,-0.0031343005708747615,0.18801091811028084,0.0291318729333239,0.2609194392107944,0.3416136642260749,0.18152632111802436,0.0501041303255708,0.04868868195290131,0.047442386084271475,-0.049251261475640795,-0.147464005204832,0.010563136848661126
return_3d,0.08618266658288534,0.5644052065718849,1.0,0.7670763393625305,0.39418289842580717,0.24397112207016283,0.9424839846035036,0.6384398244303177,0.40602277692409666,0.7670763393625305,0.39418289842580717,-0.02256700376270663,0.4040194594975063,0.6990512872799131,0.3594552735242639,0.3594552735242639,0.309490386320988,0.13377807402183944,0.3996587202582342,0.28145827360901293,0.18890288893812832,0.08351864711290503,0.12240397768129696,-0.07564883632049857,0.0783429083387022,0.48026604982044035,0.11638584300343735,0.11772948795363306,0.0042312000594892174,0.34600393403326934,0.014602255966121849,0.004927889717781781,0.4442932860087135,0.4526808719872877,0.5329810135171215,0.46063146390974996,0.5205016347350384,0.659174042744683,0.4697159513333274,0.617022180479503,0.1055005334295842,0.6071073535235332,0.43940656586976906,0.3786222577476272,0.5093868554991691,-0.013698929215687354,0.5893385675338093,0.309490386320988,0.309490386320988,-0.0005504798424363959,0.042629476125780885,0.06890328374569657,0.3972931947043891,0.5893385675338093,0.309490386320988,0.04040092862083073,0.05179936176134518,0.04129151188146616,-0.03614444938339297,-0.09985882773251574,0.006348972862369186
return_5d,0.10676771126456958,0.43709448435917697,0.7670763393625305,1.0,0.5054307717608667,0.31594811406259504,0.8055206804838518,0.7749773583100596,0.5135133792801931,1.0,0.5054307717608667,-0.01953868051712521,0.3241581670188431,0.9066712599720964,0.46306728525579177,0.46306728525579177,0.3965936073744534,0.09696407110495964,0.3800210771393505,0.30522931471833636,0.2552130574605873,0.11309603958572977,0.1958452036743491,-0.06676408402217822,0.10761976307649601,0.3631438326280047,0.12916475013217305,0.12659126066129983,-0.0015981162605910695,0.26139806988655057,0.024658197076331014,0.008419201496565016,0.5096691341598756,0.5628714306867001,0.6150777689370566,0.5308037295282665,0.6269334167901278,0.7932431454400002,0.675450716394465,0.697510413778544,0.173454934095477,0.6929383427727909,0.5292479219422153,0.5371981006793491,0.5879023836218368,0.007847924375336211,0.7729075982013373,0.3965936073744534,0.3965936073744534,0.0015025494280138869,0.018021283247828708,0.1027360941423025,0.4741357653690875,0.7729075982013373,0.3965936073744534,0.026899045097982795,0.02185357599442454,0.030742899955429306,-0.017884634874272904,-0.0748763950352885,0.013211769656136057
return_20d,0.18026001572166717,0.2315232991554714,0.39418289842580717,0.5054307717608667,1.0,0.6195456757594227,0.4091433507783427,0.845187109876646,0.8615699160274215,0.5054307717608667,1.0,-0.8725778900594032,0.012620966140087161,0.4687675604132049,0.9175808274306536,0.9175808274306536,0.7806345392337631,0.042852740545007165,0.21518800075843733,0.16331865741336613,0.26393110612504206,0.3149535744663672,0.3246152065772703,0.17082192585551534,0.2633912194494854,0.19449457875171766,0.15261042779158285,0.19531041008342456,-0.01708067441737642,0.1510225671100278,0.09096741993065212,0.03963201923702492,0.476740521530838,0.8523971366981798,0.6648130173832955,0.5893375028386991,0.7721617431595414,0.1238423792234876,0.548449266643511,0.6318743958985007,0.4346940424020175,0.029338230271615532,0.6630682844354275,0.44094873621228736,0.5543862111827317,0.20037693293712075,0.37119338173650596,0.7806345392337631,0.7806345392337631,-0.6719183514529935,-0.004990056018851184,0.2466130183130322,0.6164632918724597,0.37119338173650596,0.7806345392337631,-0.0005978063756122406,0.010436221949628802,0.0021743779523776393,0.012260252712876075,-0.013256306075375602,0.018437253036445733
return_60d,0.20948641559392378,0.14005006555223623,0.24397112207016283,0.31594811406259504,0.6195456757594227,1.0,0.24683281726833572,0.515931128483316,0.8539247282892327,0.315948114062595,0.6195456757594228,-0.5402617529652671,0.0014331196116473014,0.30942193220465447,0.602632685068163,0.602632685068163,0.4490742265029528,0.01510150494957584,0.09071950505274572,0.0712236373945566,0.283617889361763,0.37566165054520595,0.37554593406393066,0.32713221260876796,0.2861090867537497,0.1228647521080511,0.16716251430225643,0.2223297386242413,-0.01834806874190916,0.1074557910824029,0.16500805898052986,0.09942377479821005,0.15949207494979714,0.6153845721371735,0.36079989001586404,0.3515150724347168,0.5473696255201098,0.012936037105016396,0.08877172866231477,0.3570354277086442,0.402542788639908,0.012678020789018146,0.4986481108156689,0.05761699255438367,0.33387028177097067,0.27659390941660217,0.22466946851700012,0.4490742265029528,0.4490742265029528,-0.3811133277061219,-0.004211106293626123,0.2442046346740131,0.41825244309552695,0.22466946851700012,0.4490742265029528,-0.01195058467340534,0.0013790801590502176,-0.011251749240709832,0.008624596624917408,0.00900431355887013,0.026575749932945456
close_ma5_ratio,0.08468063062551079,0.7309496382639517,0.9424839846035036,0.8055206804838518,0.4091433507783427,0.24683281726833572,1.0,0.6684501869477495,0.4190957091308083,0.805520680483852,0.4091433507783427,-0.01798679113746201,0.5265778561663326,0.7266982283866923,0.3685057435041412,0.3685057435041412,0.3244738080827671,0.17038981506971426,0.4239523458597918,0.293771508126878,0.16512864220221715,0.06190120640122326,0.0963413482536012,-0.1062448710679462,0.06417596633403007,0.620792490791444,0.1234435214469854,0.09856259144102066,-0.0005506034601173876,0.4429705034702946,0.01057544947526047,0.0037754625801172175,0.4920396900044025,0.4624518308617109,0.5737897560823276,0.4941913768293642,0.5539596074648104,0.7046156275537372,0.48206524318056415,0.6597816985455665,0.08567541627374049,0.6535205391670568,0.46372310449235554,0.38710205352416693,0.5400988214625767,-0.03273179976806158,0.6267047603881629,0.3244738080827671,0.3244738080827671,0.0020359602569527137,0.08506378254854496,0.05566680370699011,0.41689534185314275,0.6267047603881629,0.3244738080827671,0.04817319235281772,0.05103848784351131,0.049560703720493246,-0.04081212966554354,-0.11876322127963004,0.006141887223024046
close_ma20_ratio,0.15656007553094597,0.3900023677239664,0.6384398244303177,0.7749773583100596,0.845187109876646,0.515931128483316,0.6684501869477495,1.0,0.789343124056547,0.7749773583100596,0.845187109876646,-0.5405960646295315,0.09029249721189563,0.7089276999836288,0.7712419799090771,0.7712419799090771,0.6772120351994874,0.08484514875365122,0.3604806548008502,0.2998949326074598,0.2577287903061374,0.19847850863987684,0.26956111681397377,0.009044499992685367,0.1812458107737148,0.3321831883035514,0.1486198937884823,0.17342330733309896,-0.01241048507518212,0.24793660926273298,0.057399174259003614,0.02460211457204142,0.6485092669376522,0.8135610068276685,0.7927135026875558,0.6884761675207548,0.8547757449282897,0.4237920020484908,0.8167006899369285,0.82280971707681,0.31696200160502647,0.30036094632646987,0.7222610690822043,0.6613603946639448,0.7059539746335266,0.09094064230113647,0.5929052686284857,0.6772120351994874,0.6772120351994874,-0.4235636258560474,0.011419631175031678,0.17178817755205228,0.6475050730974748,0.5929052686284857,0.6772120351994874,0.017311618497217,0.02001013422821734,0.023638629614179514,-0.0049471623833943846,-0.04278201971230848,0.023256195143551088
close_ma60_ratio,0.21127467287261806,0.23853765190623255,0.40602277692409666,0.5135133792801931,0.8615699160274215,0.8539247282892327,0.4190957091308083,0.789343124056547,1.0,0.5135133792801931,0.8615699160274215,-0.7095391199719866,0.023462655511793083,0.4834771495832139,0.8040304616063189,0.8040304616063189,0.669018261766005,0.04012880352217879,0.19812791923896186,0.15533828074493292,0.29385133428233906,0.334723442137019,0.36371986708323356,0.2218015210326308,0.27003872831886283,0.2024773898699881,0.16748020251319815,0.22193111001914367,-0.019092450376747377,0.16564090855153069,0.1340219417211942,0.07782660820059087,0.4057801421801492,0.7871015804951479,0.5984136248635826,0.5491174826178651,0.7943834344558174,0.12086959848882164,0.3578596759776623,0.5932600345427227,0.41711967124919014,0.068352005969777,0.6993451125350231,0.2786847163143858,0.5303399422376562,0.2228274108263712,0.3823188712831665,0.669018261766005,0.669018261766005,-0.5399832892807808,-0.0020697447553877273,0.24144401775325347,0.5742866351472448,0.3823188712831665,0.669018261766005,-0.00922357399929495,0.0018849489286116166,-0.006330877714056004,0.007380010954612231,-0.0038865054988430807,0.030574597238590864
momentum_5d,0.10676771126456958,0.43709448435917697,0.7670763393625305,1.0,0.5054307717608667,0.315948114062595,0.805520680483852,0.7749773583100596,0.5135133792801931,1.0,0.5054307717608667,-0.01953868051712521,0.3241581670188431,0.9066712599720964,0.46306728525579177,0.46306728525579177,0.3965936073744534,0.09696407110495964,0.3800210771393505,0.30522931471833636,0.2552130574605873,0.11309603958572977,0.1958452036743491,-0.06676408402217822,0.10761976307649601,0.3631438326280047,0.12916475013217305,0.12659126066129983,-0.0015981162605910695,0.26139806988655057,0.024658197076331014,0.008419201496565016,0.5096691341598756,0.5628714306867001,0.6150777689370566,0.5308037295282665,0.6269334167901278,0.7932431454400002,0.675450716394465,0.697510413778544,0.173454934095477,0.6929383427727909,0.5292479219422153,0.5371981006793491,0.5879023836218368,0.007847924375336211,0.7729075982013373,0.3965936073744534,0.3965936073744534,0.0015025494280138869,0.018021283247828708,0.1027360941423025,0.4741357653690875,0.7729075982013373,0.3965936073744534,0.026899045097982795,0.02185357599442454,0.030742899955429306,-0.017884634874272904,-0.0748763950352885,0.013211769656136057
