종목코드,종목명,종가,대비,등락률,상장시가총액
"006730","서부T&D","11250","100","0.90","730428.0"
"052400","코나아이","49350","-600","-1.20","718698.0"
"036810","에프에스티","33500","300","0.90","725268.0"
"399720","가온칩스","59200","1700","2.96","700860.0"
"009520","포스코엠텍","15490","510","3.40","645045.0"
"348210","넥스틴","63800","2400","3.91","668433.0"
"225570","넥슨게임즈","9780","60","0.62","644113.0"
"053800","안랩","59000","1700","2.97","656464.0"
"060250","NHN KCP","15610","570","3.79","626907.0"
"253590","네오셈","14250","260","1.86","625136.0"
"112040","위메이드","18140","200","1.11","615825.0"
"015750","성우하이텍","7180","270","3.91","574400.0"
"033500","동성화인텍","19980","1320","7.07","599190.0"
"272290","이녹스첨단소재","29200","300","1.04","582175.0"
"082270","젬백스","13240","0","0.00","586124.0"
"067160","SOOP","50700","3200","6.74","582785.0"
"376300","디어유","24050","400","1.69","570909.0"
"278280","천보","43800","1250","2.94","536682.0"
"214430","아이쓰리시스템","73300","-700","-0.95","535619.0"
"211050","인카금융서비스","10350","550","5.61","509879.0"
"025980","아난티","5070","450","9.74","493316.0"
"042000","카페24","19910","910","4.79","481387.0"
"041190","우리기술투자","5710","230","4.20","479640.0"
"030520","한글과컴퓨터","20350","450","2.26","492058.0"
"018290","브이티","12820","-60","-0.47","447954.0"
"036620","감성코퍼레이션","5010","135","2.77","453424.0"
"251970","펌텍코리아","37400","550","1.49","463760.0"
"125490","한라캐스트","12460","-1170","-8.58","454819.0"
"060280","큐렉소","10870","-130","-1.18","448494.0"
"025320","시노펙스","4625","165","3.70","426251.0"
"215200","메가스터디교육","40050","-350","-0.87","415127.0"
"095660","네오위즈","19770","-10","-0.05","427753.0"
"025900","동화기업","8270","140","1.72","418109.0"
"069080","웹젠","11980","1060","9.71","370980.0"
"078340","컴투스","25550","100","0.39","308933.0"
"352480","씨앤씨인터내셔널","19210","380","2.02","261830.0"
"101730","위메이드맥스","3500","110","3.24","293312.0"
"194480","데브시스터즈","15690","1190","8.21","190306.0"
