feature,gap_model_importance,intraday_model_importance,ranking_model_importance,mean_importance
usdkrw_return_1d,585.0,643.0,611.0,613.0
sox_return_1d,590.0,462.0,543.0,531.6666666666666
nasdaq_return_1d,515.0,561.0,468.0,514.6666666666666
wti_return_1d,613.0,381.0,463.0,485.6666666666667
vix_change_1d,473.0,430.0,447.0,450.0
sp500_return_1d,553.0,322.0,444.0,439.6666666666667
atr_percent,184.0,155.0,177.0,172.0
intraday_range_5d,91.0,166.0,159.0,138.66666666666666
trading_value,148.0,108.0,137.0,131.0
return_1d,145.0,88.0,124.0,119.0
volatility_20d,93.0,106.0,133.0,110.66666666666667
return_60d,109.0,102.0,93.0,101.33333333333333
return_3d,86.0,113.0,96.0,98.33333333333333
macd_hist_ratio,113.0,80.0,97.0,96.66666666666667
atr_rank_pct,61.0,123.0,106.0,96.66666666666667
lower_shadow,104.0,63.0,96.0,87.66666666666667
upper_shadow,57.0,110.0,94.0,87.0
volatility_rank_pct,64.0,95.0,97.0,85.33333333333333
body,65.0,95.0,86.0,82.0
close_ma5_ratio,63.0,83.0,92.0,79.33333333333333
momentum_accel,93.0,75.0,67.0,78.33333333333333
volatility_5d,85.0,65.0,76.0,75.33333333333333
close_ma60_ratio,83.0,80.0,49.0,70.66666666666667
low_20d,76.0,68.0,68.0,70.66666666666667
return_5d,59.0,57.0,69.0,61.666666666666664
rsi_change_5d,31.0,82.0,71.0,61.333333333333336
high_20d,71.0,43.0,59.0,57.666666666666664
momentum_diff,44.0,72.0,50.0,55.333333333333336
bb_width,44.0,50.0,53.0,49.0
trading_value_rank_pct,51.0,49.0,42.0,47.333333333333336
return_20d_rank_pct,30.0,52.0,58.0,46.666666666666664
bb_position_change_5d,30.0,44.0,59.0,44.333333333333336
close_ma20_ratio,30.0,46.0,53.0,43.0
close_to_20d_low,40.0,51.0,33.0,41.333333333333336
close_to_20d_high,43.0,52.0,28.0,41.0
return_20d,37.0,57.0,28.0,40.666666666666664
momentum_diff_rank_pct,28.0,54.0,38.0,40.0
relative_trading_value,21.0,53.0,45.0,39.666666666666664
macd_rank_pct,27.0,54.0,36.0,39.0
close_position,49.0,42.0,25.0,38.666666666666664
bb_position_rank_pct,34.0,50.0,29.0,37.666666666666664
volume_change_rank_pct,35.0,48.0,26.0,36.333333333333336
rsi_rank_pct,24.0,47.0,37.0,36.0
return_5d_rank_pct,27.0,41.0,40.0,36.0
volume_change_1d,29.0,35.0,38.0,34.0
bb_width_rank_pct,14.0,41.0,38.0,31.0
breakout_strength,19.0,52.0,22.0,31.0
rsi14,25.0,46.0,21.0,30.666666666666668
relative_return_5d_vs_market,29.0,33.0,23.0,28.333333333333332
breakout_rank_pct,16.0,41.0,27.0,28.0
relative_return_20d_vs_market,10.0,48.0,25.0,27.666666666666668
low_rebound_rank_pct,10.0,38.0,33.0,27.0
bb_position,20.0,17.0,35.0,24.0
body_ratio,18.0,20.0,31.0,23.0
relative_return_20d_vs_sector,6.0,11.0,5.0,7.333333333333333
