date,feature_date,target_date,ticker,prev_close,target_ranking,target_gap,target_intraday,ticker_name,evaluation_date,train_start_date,train_end_date,rolling_train_days,ranking_score,pred_gap,pred_intraday,expected_return,pred_open_price,pred_close_price,AI Score,AI Rank,AI Percentile,rank
2026-01-30,2026-01-29,2026-01-30,038500,6600.0,0.2727272727272727,0.034848484848484906,0.2298682284040996,삼표시멘트,2026-01-30,2025-04-04,2026-01-28,200,0.054687002222656406,0.01859009403677072,0.02740548649010254,0.04599558052687326,6722.6946206426865,6906.933337245795,100.0,1 / 348,Top 1%,1
2026-01-30,2026-01-29,2026-01-30,067310,36750.0,0.027210884353741527,0.0,0.027210884353741527,하나마이크론,2026-01-30,2025-04-04,2026-01-28,200,0.03814033969714991,0.007603075178323682,0.024376997236974198,0.03198007241529788,37029.413012803394,37932.07891150328,69.8,2 / 348,Top 1%,2
2026-01-30,2026-01-29,2026-01-30,124500,48500.0,0.10927835051546397,0.05154639175257736,0.05490196078431375,아이티센글로벌,2026-01-30,2025-04-04,2026-01-28,200,0.03558467704184805,0.001047707615343078,0.0320555024874132,0.03310321010275628,48550.813819344134,50107.134552496056,65.1,3 / 348,Top 1%,3
2026-01-30,2026-01-29,2026-01-30,319660,54600.0,0.12637362637362637,-0.00366300366300365,0.13051470588235303,피에스케이,2026-01-30,2025-04-04,2026-01-28,200,0.035283777281400995,0.006295957352452437,0.023082757814588586,0.029378715167041023,54943.7592714439,56212.012760129706,64.5,4 / 348,Top 1%,4
2026-01-30,2026-01-29,2026-01-30,403870,44350.0,0.04847801578354005,-0.006764374295377684,0.055618615209988675,HPSP,2026-01-30,2025-04-04,2026-01-28,200,0.03514486796495243,0.010785088011107077,0.01710551856066455,0.02789060657177163,44828.3186532926,45595.13029005988,64.3,5 / 348,Top 1%,5
2026-01-30,2026-01-29,2026-01-30,043260,16800.0,0.035119047619047716,0.008928571428571397,0.02595870206489681,성호전자,2026-01-30,2025-04-04,2026-01-28,200,0.03411099611884991,0.008557900078032378,0.012234933055607931,0.02079283313364031,16943.772721310947,17151.07864626562,62.4,6 / 348,Top 2%,6
2026-01-30,2026-01-29,2026-01-30,032820,9010.0,0.002219755826859071,0.011098779134295134,-0.008781558726673966,우리기술,2026-01-30,2025-04-04,2026-01-28,200,0.03401749641237845,0.014680561037647838,0.01420126066919653,0.02888182170684437,9142.271854949207,9272.10364067,62.2,7 / 348,Top 2%,7
2026-01-30,2026-01-29,2026-01-30,253590,15680.0,-0.001913265306122458,0.012755102040816313,-0.01448362720403018,네오셈,2026-01-30,2025-04-04,2026-01-28,200,0.03386817769895526,0.01325886065009381,0.013567202503013149,0.02682606315310696,15887.89893499347,16103.453277191935,62.0,8 / 348,Top 2%,8
2026-01-30,2026-01-29,2026-01-30,240810,111000.0,0.03063063063063054,-0.009009009009009028,0.040000000000000036,원익IPS,2026-01-30,2025-04-04,2026-01-28,200,0.03313874004396938,0.005258964567775562,0.01681350522092076,0.02207246978869632,111583.74506702309,113459.85894727739,60.6,9 / 348,Top 3%,9
2026-01-30,2026-01-29,2026-01-30,166090,65100.0,0.02764976958525356,0.004608294930875667,0.022935779816513735,하나머티리얼즈,2026-01-30,2025-04-04,2026-01-28,200,0.03183988812022609,0.004497557248879324,0.017053968916221046,0.021551526165100372,65392.79097690204,66507.99760156707,58.3,10 / 348,Top 3%,10
2026-02-02,2026-01-30,2026-02-02,100790,17600.0,-0.03409090909090906,0.019886363636363535,-0.05292479108635095,미래에셋벤처투자,2026-02-02,2025-04-07,2026-01-29,200,0.03913740149098906,0.013974097618046008,0.03775710094679709,0.051731198564843095,17845.94411807761,18519.755231634765,100.0,1 / 348,Top 1%,1
