evaluation_date,daily_return,kospi_benchmark_return,universe_equal_weight_return,top10_count,prediction_count,train_start_date,train_end_date,train_rows,unique_train_dates,cumulative_return,kospi_benchmark_cumulative_return,universe_cumulative_return
2026-01-30,0.050953328374059206,-0.007309203570321245,-0.0012007018179946653,10,348,2024-11-05,2026-01-28,103902,300,0.050953328374059303,-0.0073092035703212765,-0.0012007018179946982
2026-02-02,-0.01132465779137488,-0.03529551999425869,-0.04426907132325028,10,348,2024-11-06,2026-01-29,103906,300,0.03905164157551666,-0.042346741423821666,-0.04541661918682627
2026-02-03,0.044616980675208015,0.04526903631100547,0.04614948421967705,10,348,2024-11-07,2026-01-30,103911,300,0.0854109885882346,0.001005298712016156,-0.0013630885176227903
2026-02-04,0.048385348990184984,0.026778089304493585,0.016843611075778444,10,348,2024-11-08,2026-02-02,103915,300,0.13792897806885795,0.02781030799519768,0.015457563225302895
2026-02-05,-0.03154877853774637,-0.01753620393876705,-0.026359860497306018,10,347,2024-11-11,2026-02-03,103919,300,0.10202870874807957,0.00978641682382686,-0.01130975648225041
2026-02-06,0.0026895476134327968,-0.01642667079709253,-0.017171337267982735,10,348,2024-11-12,2026-02-04,103922,300,0.10499266743162727,-0.00680101222071372,-0.0282868901072576
2026-02-09,0.09089230244921853,0.036011381645164244,0.04663754836747475,10,348,2024-11-13,2026-02-05,103926,300,0.20542799516399146,0.02896545557779695,0.01703142705467453
2026-02-10,0.04305645047293425,0.014380869177629239,0.0012639193550308045,10,348,2024-11-14,2026-02-06,103930,300,0.25732944593645835,0.04376287318276084,0.0183168727600036
2026-02-11,0.031400413151635165,0.010027815590840766,0.004415296490814093,10,348,2024-11-15,2026-02-09,103934,300,0.29681011000657964,0.054229534795603884,0.02281304367483772
2026-02-12,-0.013063760669491675,0.018458781703363233,0.01299536491233476,10,348,2024-11-18,2026-02-10,103938,300,0.27986889309567653,0.07368932764363412,0.0361048724144879
2026-02-13,-0.010244752854338823,-0.007810650908782254,-0.012145672382566516,10,348,2024-11-19,2026-02-11,103942,300,0.26675695259995513,0.06530311512092446,0.023520682080160782
2026-02-19,0.06730698151284434,0.023383425428031537,0.03502262054325179,10,348,2024-11-20,2026-02-12,103946,300,0.3520185393898674,0.09021355107160445,0.05936705854682445
2026-02-20,0.015576063879682623,0.017066386981724038,0.007522609950330182,10,348,2024-11-21,2026-02-13,103950,300,0.3730776665259192,0.10881955742691196,0.06733626372250101
2026-02-23,0.018452040262229852,0.005129123744955415,-0.0001880712688709862,10,348,2024-11-22,2026-02-19,103954,300,0.3984137509118242,0.11450683014778118,0.06713552843707071
2026-02-24,0.022197369843828807,0.004657967119081565,0.007775875907801333,10,348,2024-11-25,2026-02-20,103958,300,0.42945485813550976,0.11969816631660146,0.07543344188300338
2026-02-25,0.016339367370861325,0.013879360485143167,0.0070783511078889375,10,348,2024-11-26,2026-02-23,103963,300,0.45281124620264834,0.1352388608014634,0.08304573737781662
2026-02-26,0.01618139758212086,0.002418571077524624,0.008458299982752524,10,348,2024-11-27,2026-02-24,103967,300,0.4763197625892297,0.13798451667627987,0.09220646311959957
2026-02-27,-0.01689838308325594,-0.007194144759053435,-0.0034741159322068532,10,348,2024-11-28,2026-02-25,103971,300,0.4513723456876153,0.12979769132974917,0.08841201124481657
2026-03-03,-0.052764848586547876,-0.04409028530126535,-0.0450117837341862,10,348,2024-11-29,2026-02-26,103976,300,0.37479090362470546,0.07998458878630954,0.03942064518097421
2026-03-04,-0.16981682524737174,-0.12597046627388725,-0.13320299121646845,10,348,2024-12-02,2026-02-27,103981,300,0.14132827699219264,-0.05606157343171414,-0.09903329388928317
2026-03-05,0.13307965227683313,0.07614737192611104,0.10371254221793874,10,348,2024-12-03,2026-03-03,103986,300,0.29321584722803085,0.01581685701152913,-0.0055917463448181826
2026-03-06,0.024651554081852312,0.014505400636042201,0.02949912789794224,10,348,2024-12-04,2026-03-04,103991,300,0.3250956276254813,0.03055168749532644,0.023742429912525287
2026-03-09,-0.046013814762469206,-0.04038728178886729,-0.04323437902110717,10,348,2024-12-05,2026-03-05,103996,300,0.26412292287336436,-0.011069493905540018,-0.020518438322302046
2026-03-10,0.029821309108679327,0.026710641687850666,0.02948298620984244,10,348,2024-12-06,2026-03-06,104001,300,0.30182072330773835,0.015345474496933909,0.008359603053436526
2026-03-11,0.0536881489299853,0.017836053288272032,0.00911906204189716,10,348,2024-12-09,2026-03-09,104006,300,0.3717130681808256,0.03345523048606691,0.0175548968342234
2026-03-12,0.014206347461037428,0.0031898479262249843,0.005149596688992726,10,348,2024-12-10,2026-03-10,104011,300,0.39120010064424826,0.03675179550987906,0.022794894161829227
2026-03-13,0.0036143363467065594,-0.01448628157628475,-0.005287753284515413,10,348,2024-12-11,2026-03-11,104016,300,0.3962283657335486,0.021733117075404262,0.017386607100839502
2026-03-16,-0.015314776467677071,-0.009923671444541092,-0.009516171054373425,10,348,2024-12-12,2026-03-12,104021,300,0.3748454404145092,0.011593773317541078,0.007704982119239423
2026-03-17,-0.00041117399043986145,0.02037231168435925,0.012890558736224465,10,348,2024-12-13,2026-03-13,104026,300,0.3742801397285358,0.032202276965523025,0.020694862380033596
2026-03-18,0.08018418073371977,0.03111922450743842,0.02999700143439488,10,348,2024-12-16,2026-03-16,104031,300,0.4844756668312904,0.06432361135950226,0.05131264763092691
2026-03-19,-0.016068840291861085,-0.017683452994752772,-0.02047809321240557,10,348,2024-12-17,2026-03-17,104036,300,0.46062186442382447,0.0455026948068209,0.029783769237359925
2026-03-20,0.050764991691746496,0.022642703749165955,0.019212097401992756,10,348,2024-12-18,2026-03-18,104041,300,0.5347703212360833,0.06917570259428629,0.04956807531493923
2026-03-23,-0.050544948976888195,-0.05683979357588746,-0.05802976189676227,10,348,2024-12-19,2026-03-19,104046,300,0.4571954336579631,0.008403976362472587,-0.011338110190029727
2026-03-24,0.022408253134020516,0.022426506619105713,0.021733149285472216,10,348,2024-12-20,2026-03-20,104051,300,0.48984863780110977,0.03101895481309791,0.010148626254067539
2026-03-25,0.04275952743286785,0.02311273562768917,0.02832751461759579,10,348,2024-12-23,2026-03-23,104056,300,0.5535538614999871,0.05484862334282958,0.038763626230224
2026-03-26,-0.02275527692414181,-0.014747210063106996,-0.021654527350716848,10,348,2024-12-24,2026-03-24,104060,300,0.5182023131649851,0.03929254910961366,0.01626969087509189
2026-03-27,0.006648137896779482,0.0036313447716797907,0.004171317897613992,10,348,2024-12-26,2026-03-25,104064,300,0.5282955314981157,0.04306657867406871,0.020508874825441836
2026-03-30,-0.032619344115574614,-0.02646325915563549,-0.03212215728255495,10,348,2024-12-27,2026-03-26,104068,300,0.47844353364588366,0.015463637486034854,-0.012272071759944159
2026-03-31,-0.015434778507416046,-0.02444770676383966,-0.0289565773066878,10,348,2024-12-30,2026-03-27,104072,300,0.45562408516833797,-0.009362119752565734,-0.04087329187200184
2026-04-01,0.1071044899908874,0.053589458131800626,0.059531467035979814,10,348,2025-01-02,2026-03-30,104076,300,0.6115279604287449,0.04372562745472974,0.016224928136248096
2026-04-02,-0.06047816088961241,-0.03844979509900855,-0.04419858783125777,10,348,2025-01-03,2026-03-31,104080,300,0.5140657131598263,0.0035945909395111997,-0.02869077860629543
2026-04-03,0.027879971478598574,0.01449278349320467,0.009028825367666577,10,348,2025-01-06,2026-04-01,104084,300,0.5562778220594464,0.01813947006094896,-0.019920997268327634
2026-04-06,-0.029687678168118726,0.0066788259220521414,-0.003108659300524517,10,348,2025-01-07,2026-04-02,104088,300,0.510075546937965,0.02493944634585632,-0.02296772897541821
2026-04-07,-0.02558163937119372,-0.006282608841078728,-0.006154142915326411,10,348,2025-01-08,2026-04-03,104092,300,0.4714453388729398,0.018500152718673668,-0.028980525204189478
2026-04-08,0.07393573648419434,0.048249236020002494,0.05389435344606402,10,348,2025-01-09,2026-04-06,104096,300,0.5802377336987457,0.06764200697360545,0.02335194157346754
2026-04-09,-0.009451181592661983,0.003514970268816679,-0.003629119182077211,10,348,2025-01-10,2026-04-07,104100,300,0.565302619917982,0.0713947368858574,0.019638075412287348
2026-04-10,-0.004281448054645231,0.011534838787643546,0.013776804531486308,10,348,2025-01-13,2026-04-08,104104,300,0.5586008580610031,0.08375310245376544,0.033685429870103256
2026-04-13,-0.009604924217070755,-0.006784832553805399,-0.0019031188397249479,10,348,2025-01-14,2026-04-09,104108,300,0.5436306149346659,0.07640001912394956,0.03171820365416833
2026-04-14,-0.0011850539426011887,0.015413864612602612,0.017280122058914583,10,348,2025-01-15,2026-04-10,104112,300,0.5418013293885178,0.09299150328772887,0.04954642014371635
2026-04-15,0.018370521134152374,0.017162462732450413,0.022073628588197395,10,348,2025-01-16,2026-04-13,104116,300,0.5701250232947137,0.11174992922978944,0.07271371800804105
